GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,104.42,350.66,1793.24,-1476.4,-12698.31,557.84,8198.31,-1811.05,55.23,-3170.24,-1755.82,-4926.06
11,524.2,1358.95,2021.5,-1374.2,-12516.21,620.25,8221.62,-1963.92,57.76,-1143.89,-1906.16,-3050.06
21,546.81,1324.49,2028.13,-1337.52,-12577.3,633.31,8219.61,-1925.41,59.09,-1162.48,-1866.32,-3028.8
31,524.06,1318.43,2009.48,-1338.63,-12562.71,611.68,8173.27,-1925.28,60.47,-1264.41,-1864.8,-3129.21
41,543.14,1276.23,2016.69,-1368.73,-12405.68,622.01,8202.13,-2052.32,57.94,-1114.21,-1994.38,-3108.59
51,524.56,1289.6,2010.69,-1366.56,-12451.45,624.87,8224.91,-2022.52,59.52,-1143.37,-1963.0,-3106.37
61,527.02,1346.61,2038.58,-1375.87,-12555.55,625.34,8191.47,-1912.62,58.21,-1202.4,-1854.41,-3056.81
71,550.94,1320.41,2003.76,-1347.87,-12453.32,620.02,8114.26,-1955.63,59.29,-1191.8,-1896.34,-3088.14
81,547.08,1324.02,2017.21,-1343.05,-12439.77,622.95,8199.21,-2033.5,61.52,-1072.33,-1971.98,-3044.32
91,565.33,1315.16,2013.37,-1340.2,-12387.83,603.69,8153.99,-2053.68,61.91,-1076.49,-1991.77,-3068.25
101,500.06,1332.23,2022.47,-1360.16,-12493.44,619.01,8190.72,-1967.22,58.72,-1189.11,-1908.5,-3097.61
111,517.91,1342.55,1996.91,-1353.41,-12449.49,609.62,8178.45,-2023.85,60.81,-1157.45,-1963.04,-3120.49
121,506.13,1318.82,2031.47,-1364.04,-12502.61,640.52,8196.2,-1979.64,59.69,-1173.5,-1919.95,-3093.45
131,532.05,1307.28,1981.64,-1359.84,-12335.36,610.06,8128.29,-2077.39,60.64,-1135.87,-2016.74,-3152.62
141,526.73,1353.2,2003.02,-1317.54,-12494.27,627.31,8195.16,-1989.38,59.01,-1106.39,-1930.37,-3036.76
151,520.6,1319.09,1995.53,-1361.3,-12489.45,624.0,8170.04,-1928.66,58.92,-1221.5,-1869.73,-3091.23
161,503.17,1326.39,1980.77,-1364.05,-12539.27,624.36,8170.97,-1923.26,58.64,-1297.67,-1864.62,-3162.29
171,523.94,1300.75,2017.95,-1351.03,-12558.01,613.2,8129.34,-1869.87,58.16,-1323.86,-1811.71,-3135.57
181,507.02,1319.31,1992.07,-1361.96,-12440.86,622.24,8166.2,-1975.86,59.91,-1195.98,-1915.95,-3111.93
191,493.78,1356.8,2028.02,-1342.04,-12494.41,627.0,8188.26,-1971.06,59.15,-1142.58,-1911.91,-3054.5
201,530.73,1313.53,2019.78,-1366.99,-12534.4,621.68,8226.96,-1979.82,59.75,-1188.71,-1920.07,-3108.78
211,504.95,1312.31,2012.93,-1347.37,-12577.35,631.09,8178.05,-1892.44,56.72,-1285.38,-1835.72,-3121.1
221,552.81,1318.65,2024.39,-1370.59,-12656.59,615.35,8181.7,-1840.27,57.42,-1334.28,-1782.85,-3117.13
231,526.59,1371.46,1993.87,-1348.15,-12659.06,616.24,8180.42,-1818.69,58.7,-1318.63,-1759.99,-3078.61
241,535.39,1298.14,2018.07,-1313.62,-12646.89,618.19,8129.75,-1785.56,57.57,-1360.96,-1727.99,-3088.95
251,511.44,1389.3,2030.4,-1368.81,-12513.23,614.53,8170.89,-1928.17,56.78,-1165.47,-1871.39,-3036.86
261,492.75,1299.1,2001.49,-1344.56,-12615.17,623.45,8183.3,-1878.67,58.95,-1359.64,-1819.72,-3179.36
271,529.81,1331.64,2007.22,-1346.82,-12473.81,634.34,8173.15,-1973.94,59.53,-1144.48,-1914.4,-3058.88
281,516.64,1286.64,2009.73,-1345.84,-12524.66,621.41,8158.48,-1926.24,57.77,-1277.59,-1868.47,-3146.06
291,530.35,1293.05,2010.01,-1367.83,-12468.25,595.25,8142.27,-1940.28,57.3,-1265.15,-1882.99,-3148.13
301,534.09,1328.11,1995.68,-1334.65,-12546.36,603.17,8130.71,-1887.4,59.86,-1289.26,-1827.54,-3116.81
311,551.62,1306.43,2030.3,-1351.37,-12576.32,608.77,8205.52,-1911.19,58.37,-1225.07,-1852.82,-3077.89
