time,Potential Energy (kJ/mole)
0.000000,-384510.687500
10.000000,-338570.187500
20.000000,-339886.187500
30.000000,-339601.031250
40.000000,-338747.187500
50.000000,-340055.687500
60.000000,-339449.843750
70.000000,-339642.281250
80.000000,-340449.531250
90.000000,-340138.687500
100.000000,-339984.531250
110.000000,-340670.937500
120.000000,-339866.343750
130.000000,-341266.625000
140.000000,-339882.062500
150.000000,-339599.187500
160.000000,-339559.031250
170.000000,-340698.718750
180.000000,-341279.093750
190.000000,-340234.937500
200.000000,-339766.156250
210.000000,-338962.125000
220.000000,-339470.718750
230.000000,-338563.031250
240.000000,-340180.843750
250.000000,-339624.093750
260.000000,-340542.343750
270.000000,-340210.937500
280.000000,-339675.375000
290.000000,-339806.718750
300.000000,-340381.156250
310.000000,-339371.156250
320.000000,-339891.156250
330.000000,-340967.781250
340.000000,-341313.281250
350.000000,-339848.312500
360.000000,-339692.343750
370.000000,-340892.281250
380.000000,-339229.218750
390.000000,-338878.437500
400.000000,-340110.093750
410.000000,-339494.093750
420.000000,-339127.718750
430.000000,-339066.562500
440.000000,-340012.562500
450.000000,-340143.593750
460.000000,-340062.000000
470.000000,-339195.656250
480.000000,-339920.000000
490.000000,-340727.937500
500.000000,-340559.875000
510.000000,-340405.656250
520.000000,-339501.562500
530.000000,-338858.656250
540.000000,-339087.500000
550.000000,-340215.718750
560.000000,-340364.531250
570.000000,-340203.968750
580.000000,-340292.437500
590.000000,-341065.375000
600.000000,-339746.000000
610.000000,-339935.093750
620.000000,-340502.968750
630.000000,-338894.656250
640.000000,-340105.406250
650.000000,-339809.031250
660.000000,-340419.281250
670.000000,-339708.406250
680.000000,-340147.843750
690.000000,-340011.687500
700.000000,-340722.218750
710.000000,-339696.468750
720.000000,-340138.687500
730.000000,-339961.656250
740.000000,-339079.000000
750.000000,-340642.062500
760.000000,-339079.937500
770.000000,-339796.781250
780.000000,-340772.531250
790.000000,-340336.281250
800.000000,-341267.250000
810.000000,-339839.468750
820.000000,-338851.312500
830.000000,-340295.500000
840.000000,-338176.343750
850.000000,-339350.062500
860.000000,-340594.531250
870.000000,-339829.875000
880.000000,-340254.937500
890.000000,-339270.937500
900.000000,-339296.937500
910.000000,-340224.343750
920.000000,-339149.937500
930.000000,-339171.218750
940.000000,-341025.218750
950.000000,-340850.281250
960.000000,-339212.000000
970.000000,-339910.593750
980.000000,-340331.062500
990.000000,-339443.500000
1000.000000,-340930.218750
1010.000000,-339522.468750
1020.000000,-340426.875000
1030.000000,-338464.468750
1040.000000,-341108.250000
1050.000000,-339476.593750
1060.000000,-340725.906250
1070.000000,-341914.156250
1080.000000,-338738.187500
1090.000000,-340768.937500
1100.000000,-341314.281250
1110.000000,-340832.156250
1120.000000,-340899.062500
1130.000000,-338294.062500
1140.000000,-339617.937500
1150.000000,-340437.281250
1160.000000,-339845.875000
1170.000000,-339890.500000
1180.000000,-339859.281250
1190.000000,-340006.875000
1200.000000,-338088.250000
1210.000000,-340320.875000
1220.000000,-340822.500000
1230.000000,-340410.531250
1240.000000,-340430.531250
1250.000000,-340855.500000
1260.000000,-340128.875000
1270.000000,-339751.593750
1280.000000,-340737.968750
1290.000000,-339722.625000
1300.000000,-338645.468750
1310.000000,-340062.656250
1320.000000,-341065.000000
1330.000000,-338694.906250
1340.000000,-341096.562500
1350.000000,-341486.562500
1360.000000,-340515.187500
1370.000000,-339921.062500
1380.000000,-339527.500000
1390.000000,-338404.000000
1400.000000,-339352.843750
1410.000000,-339846.906250
1420.000000,-341033.281250
1430.000000,-340121.812500
1440.000000,-340850.906250
1450.000000,-339421.937500
1460.000000,-341360.937500
1470.000000,-340860.062500
1480.000000,-338897.468750
1490.000000,-340905.562500
1500.000000,-339979.125000
1510.000000,-340279.250000
1520.000000,-340375.468750
1530.000000,-339130.906250
1540.000000,-339297.531250
1550.000000,-339789.468750
1560.000000,-340269.687500
1570.000000,-339432.281250
1580.000000,-338544.687500
1590.000000,-339069.687500
1600.000000,-339594.562500
1610.000000,-339740.031250
1620.000000,-339140.562500
1630.000000,-340433.468750
1640.000000,-340396.281250
1650.000000,-339033.343750
1660.000000,-337671.218750
1670.000000,-340296.093750
1680.000000,-339591.031250
1690.000000,-338397.000000
1700.000000,-341084.250000
1710.000000,-340825.937500
1720.000000,-340975.750000
1730.000000,-340769.156250
1740.000000,-340702.687500
1750.000000,-340649.687500
1760.000000,-339316.125000
1770.000000,-339214.062500
1780.000000,-340381.250000
1790.000000,-340868.968750
1800.000000,-339121.875000
1810.000000,-340154.125000
1820.000000,-340975.687500
1830.000000,-339851.343750
1840.000000,-340513.750000
1850.000000,-339269.812500
1860.000000,-339296.343750
1870.000000,-340270.500000
1880.000000,-340131.156250
1890.000000,-339789.375000
1900.000000,-338719.250000
1910.000000,-339244.343750
1920.000000,-339105.156250
1930.000000,-339920.125000
1940.000000,-340379.625000
1950.000000,-338796.968750
1960.000000,-339917.218750
1970.000000,-339567.031250
1980.000000,-339770.187500
1990.000000,-339168.906250
2000.000000,-338664.062500
2010.000000,-340202.312500
2020.000000,-338011.250000
2030.000000,-341023.687500
2040.000000,-340064.812500
2050.000000,-340645.531250
2060.000000,-340414.312500
2070.000000,-340093.750000
2080.000000,-338690.625000
2090.000000,-339821.000000
2100.000000,-339548.125000
2110.000000,-338498.375000
2120.000000,-340120.656250
2130.000000,-340055.437500
2140.000000,-340556.531250
2150.000000,-341048.187500
2160.000000,-340407.125000
2170.000000,-338967.843750
2180.000000,-341145.125000
2190.000000,-340762.875000
2200.000000,-341437.218750
2210.000000,-340749.062500
2220.000000,-339152.656250
2230.000000,-339964.125000
2240.000000,-341311.687500
2250.000000,-338853.218750
2260.000000,-339510.593750
2270.000000,-337985.000000
2280.000000,-339425.750000
2290.000000,-338852.343750
2300.000000,-339929.562500
2310.000000,-339686.687500
2320.000000,-339942.625000
2330.000000,-339861.281250
2340.000000,-339861.000000
2350.000000,-341601.093750
2360.000000,-339801.781250
2370.000000,-340975.531250
2380.000000,-339388.218750
2390.000000,-339608.000000
2400.000000,-339926.656250
2410.000000,-339182.406250
2420.000000,-340548.968750
2430.000000,-339631.500000
2440.000000,-340905.343750
2450.000000,-338736.312500
2460.000000,-340156.343750
2470.000000,-339885.718750
2480.000000,-340908.656250
2490.000000,-339844.750000
2500.000000,-338980.562500
2510.000000,-339483.750000
2520.000000,-339135.031250
2530.000000,-340738.875000
2540.000000,-340460.187500
2550.000000,-338212.906250
2560.000000,-340195.468750
2570.000000,-339194.312500
2580.000000,-340273.906250
2590.000000,-339034.125000
2600.000000,-339716.125000
2610.000000,-340321.375000
2620.000000,-339423.093750
2630.000000,-339854.187500
2640.000000,-339973.656250
2650.000000,-339006.000000
2660.000000,-339976.093750
2670.000000,-339459.875000
2680.000000,-339508.718750
2690.000000,-339968.125000
2700.000000,-340687.375000
2710.000000,-339936.875000
2720.000000,-339036.437500
2730.000000,-340074.625000
2740.000000,-340315.468750
2750.000000,-339334.343750
2760.000000,-340148.750000
2770.000000,-341221.531250
2780.000000,-338380.812500
2790.000000,-341777.656250
2800.000000,-341179.468750
2810.000000,-340897.156250
