GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,473.27,1266.81,2005.35,-1377.51,-12549.22,626.66,8136.14,-1846.23,55.92,-1418.51,-1790.31,-3208.82
11,523.31,1355.02,1991.54,-1377.36,-12404.18,610.09,8161.81,-1999.32,58.33,-1139.77,-1940.98,-3080.75
21,511.56,1317.29,2019.98,-1361.24,-12373.23,598.05,8135.45,-2052.21,58.2,-1152.16,-1994.01,-3146.17
31,521.61,1310.08,2005.03,-1393.59,-12472.72,597.5,8166.29,-1957.7,58.22,-1265.81,-1899.48,-3165.29
41,498.16,1342.62,2007.89,-1338.98,-12509.74,611.26,8173.71,-1969.82,59.58,-1215.08,-1910.24,-3125.33
51,544.39,1323.12,2031.9,-1359.41,-12487.0,616.09,8150.39,-1965.37,57.9,-1180.52,-1907.47,-3087.99
61,471.67,1299.64,2003.81,-1366.26,-12578.64,615.68,8170.08,-1883.2,57.49,-1384.02,-1825.71,-3209.73
71,485.94,1352.12,2021.1,-1378.94,-12518.46,624.23,8113.19,-1867.39,57.66,-1300.82,-1809.73,-3110.55
81,511.56,1312.54,2015.74,-1322.6,-12586.46,618.4,8187.46,-1890.3,57.77,-1263.37,-1832.53,-3095.9
91,548.11,1316.57,2030.0,-1376.83,-12579.02,629.55,8140.46,-1854.43,55.22,-1291.16,-1799.21,-3090.37
101,530.91,1325.57,2043.95,-1399.07,-12611.38,619.19,8140.54,-1821.87,55.65,-1350.3,-1766.21,-3116.51
111,540.9,1276.82,2019.78,-1371.67,-12545.92,612.04,8197.19,-1949.46,58.12,-1270.85,-1891.34,-3162.2
121,516.26,1369.37,2037.91,-1339.1,-12659.93,613.5,8184.07,-1848.11,58.0,-1277.92,-1790.11,-3068.03
131,489.62,1338.74,2022.27,-1379.12,-12499.1,626.23,8146.76,-1915.87,58.25,-1254.59,-1857.62,-3112.22
141,494.96,1299.79,2010.09,-1358.69,-12444.72,618.16,8165.2,-2005.86,58.02,-1215.22,-1947.84,-3163.05
151,515.98,1317.94,1982.64,-1360.33,-12490.68,605.97,8171.71,-1965.18,58.89,-1256.75,-1906.29,-3163.04
161,516.48,1342.46,2034.67,-1356.99,-12384.72,620.64,8153.37,-2027.57,59.3,-1074.09,-1968.27,-3042.36
171,484.1,1337.79,2012.03,-1378.57,-12475.66,627.25,8167.99,-1977.04,57.57,-1225.06,-1919.46,-3144.53
181,534.92,1263.58,2025.44,-1358.0,-12529.22,627.91,8223.25,-1971.63,59.55,-1212.12,-1912.08,-3124.2
