#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
30001000,60002.00001130651,-350907.3555473366,60498.030011986266,-290409.32553535036,276.1014872782404,256.4804262830101,1.0244097026375476,0
30002000,60004.00001130692,-341719.79146637674,64813.38581980998,-276906.40564656677,295.79594933657285,257.46534077472336,1.0204908995918898,319
30003000,60006.000011307326,-340543.81890252745,65462.935795068275,-275080.8831074592,298.7603717185054,256.40775290911137,1.0247000499788455,314
30004000,60008.00001130773,-338597.6877093797,66268.73583980091,-272328.9518695788,302.4378896600892,258.9498903082044,1.0146404654128767,314
30005000,60010.00001130814,-339388.9470378177,65652.27790907875,-273736.6691287389,299.6244930671235,257.1027622244244,1.0219300444216302,313
30006000,60012.00001130855,-339295.6203718551,65839.40944612466,-273456.2109257304,300.4785257634742,255.20740419909913,1.02951964910843,312
30007000,60014.000011308955,-340066.19566231617,65633.06831393193,-274433.12734838424,299.53682413329216,256.2465115309585,1.0253448355303236,312
30008000,60016.00001130936,-339340.2554446764,65849.75649694109,-273490.4989477353,300.5257477328307,256.4280926821347,1.024618771183626,313
30009000,60018.00001130977,-340326.45789154316,66508.67726812736,-273817.78062341583,303.5329366427342,256.9336494224766,1.0226026750933825,313
30010000,60020.00001131018,-340050.5827427639,65753.52441563329,-274297.0583271306,300.0865628408979,255.95460743089052,1.0265141927240817,313
30011000,60022.000011310585,-340219.733252967,65948.92544096988,-274270.80781199713,300.9783359069041,256.4241273258063,1.0246346159427402,314
30012000,60024.00001131099,-339609.76090967306,65929.28519213758,-273680.4757175355,300.88870155166916,256.74548270131726,1.0233521324563575,314
30013000,60026.0000113114,-340121.66416254477,66210.64277029317,-273911.0213922516,302.17276395453365,255.8680310978631,1.0268615273802533,315
30014000,60028.00001131181,-340102.28989382554,66247.91848451784,-273854.3714093077,302.3428832151898,255.89408158825455,1.0267569909791519,314
30015000,60030.000011312215,-339785.0271659624,65670.36195666576,-274114.6652092966,299.7070252162496,256.3762445592761,1.024825984453416,315
30016000,60032.00001131262,-340045.18552570906,65984.02782851586,-274061.1576971932,301.13853651850326,256.27750574930053,1.0252208302587125,315
30017000,60034.00001131303,-339597.54956890363,65479.60414719174,-274117.9454217119,298.83644290315146,256.8323015060171,1.0230062016353278,316
30018000,60036.00001131344,-339619.8773422553,65167.78444663243,-274452.0928956229,297.41335717507036,257.17495313420943,1.0216431811064264,316
30019000,60038.000011313845,-339581.7797418195,65062.719891086075,-274519.0598507334,296.933862552835,256.84838611361664,1.0229421379533472,316
30020000,60040.00001131425,-338808.3059588433,66226.10586532694,-272582.2000935164,302.24333457536056,256.77323220800116,1.0232415386978282,316
30021000,60042.00001131466,-339457.05477413116,65990.70381513063,-273466.3509590005,301.16900444998834,256.79044191372907,1.0231729626027122,316
30022000,60044.00001131507,-338934.42791308626,65745.77267089864,-273188.6552421876,300.0511853542291,256.7078461721647,1.0235021684717767,316
30023000,60046.000011315475,-339564.68239773554,66231.10153015552,-273333.58086758,302.26613383822644,256.1825282553215,1.0256009221638718,316
30024000,60048.00001131588,-340349.69229456456,65652.51855117484,-274697.1737433897,299.6255913118204,255.1254625048779,1.0298503122396352,316
30025000,60050.00001131629,-340434.91449789074,66116.21519757842,-274318.6993003123,301.74181449615537,256.16811302425225,1.0256586353355202,316
30026000,60052.0000113167,-339746.9353745228,66754.55415373028,-272992.38122079254,304.65507192199635,256.3848065334083,1.0247917603756027,316
30027000,60054.000011317105,-339865.6654614762,66176.6224848997,-273689.0429765765,302.01750185107494,256.1260200506567,1.0258271969750081,316
30028000,60056.00001131751,-339366.4279863697,65534.67561974528,-273831.7523666244,299.0877786156634,256.02204230435376,1.0262438142282635,316
30029000,60058.00001131792,-340037.19464368303,65854.2021045154,-274182.99253916764,300.5460366391452,256.1435568174054,1.0257569641239406,316
30030000,60060.00001131833,-340083.94934959547,65352.46457222197,-274731.4847773735,298.2562020963992,255.8214122641835,1.0270486543542356,316
30031000,60062.000011318734,-339409.33068091166,66322.57092803624,-273086.7597528754,302.6835827500391,255.70303656823677,1.0275241183958914,316
30032000,60064.00001131914,-339599.68858759594,65408.70674965496,-274190.981837941,298.51288068302324,255.3099883011193,1.0291059859007403,316
30033000,60066.00001131955,-339754.525623434,65702.95522337896,-274051.57040005503,299.8557746782236,256.1255492013582,1.0258290828080208,316
30034000,60068.00001131996,-339519.4249002149,66189.08917126042,-273330.33572895447,302.0743974333765,255.69537374027774,1.0275549118374303,316
30035000,60070.000011320364,-339663.97530033137,65271.85321638861,-274392.12208394276,297.8883072206042,256.17755076848954,1.0256208494177221,316
30036000,60072.00001132077,-338685.61939213844,66615.78923074309,-272069.83016139537,304.0217752409107,256.0288024675435,1.0262167173720123,316
30037000,60074.00001132118,-338962.7050072707,65882.7605389735,-273079.9444682972,300.6763718951305,256.87238411116675,1.0228465707984526,316
30038000,60076.00001132159,-338983.6418644509,65871.94361016585,-273111.69825428503,300.6270054921091,256.20853663704276,1.0254968107996392,316
30039000,60078.000011321994,-338845.36649263534,65271.957486082916,-273573.4090065524,297.88878308763105,257.1441707157858,1.021765480778991,316
30040000,60080.0000113224,-338935.642894479,65905.69477383926,-273029.9481206397,300.78103937529096,256.90721606295966,1.0227078913834033,316
30041000,60082.00001132281,-338940.65497281845,66470.94069484214,-272469.7142779763,303.3607141090952,257.06560713377854,1.0220777495302893,316
30042000,60084.000011323216,-338831.28093035286,65905.84650217986,-272925.434428173,300.7817318345412,257.52966006954995,1.0202360269880077,316
30043000,60086.000011323624,-338158.28117337124,66325.64454664418,-271832.63662672706,302.69761016000285,258.1856039694311,1.0176440250016345,316
30044000,60088.00001132403,-338874.69481887296,65211.29857082912,-273663.39624804386,297.6119473507494,255.82803948482797,1.0270220486777872,316
30045000,60090.00001132444,-340817.1818137383,66630.8565288272,-274186.3252849111,304.09053951983776,255.11426097561517,1.029895530795292,316
30046000,60092.000011324846,-340229.75724060764,66259.45207323675,-273970.3051673709,302.3955203175601,256.94604320790387,1.0225533498810764,316
30047000,60094.00001132525,-340394.44947432936,64916.756509916566,-275477.6929644128,296.26771347953337,256.6095068547203,1.023894400645417,317
30048000,60096.00001132566,-339197.59334322065,65490.5319891391,-273707.06135408155,298.8863154926194,255.6097370084486,1.0278991727621298,317
30049000,60098.00001132607,-338953.58067599544,66494.52561221787,-272459.0550637776,303.4683511803103,256.3463087252685,1.0249456624808073,317
30050000,60100.000011326476,-339963.00970803783,65802.07057656976,-274160.93913146807,300.3081182739187,257.33523109330133,1.0210068637110499,317
30051000,60102.00001132688,-340896.2092197391,65790.71001405807,-275105.49920568103,300.25627083020566,256.0488737268471,1.0261362738944204,316
30052000,60104.00001132729,-340238.8248850629,66240.72075352364,-273998.10413153924,302.31003414172187,255.45398914305812,1.0285258731026934,316
30053000,60106.0000113277,-340426.6506072525,66093.33749591256,-274333.3131113399,301.6374050227527,255.9378963979167,1.026581217235747,316
30054000,60108.000011328106,-339771.32958835457,65606.56330518585,-274164.7662831687,299.4158603211867,256.4025511288755,1.0247208386349809,317
30055000,60110.00001132851,-338910.0852492382,65520.08473991003,-273390.00050932815,299.0211886188915,255.78608461225514,1.0271905042028289,317
30056000,60112.00001132892,-340879.89363725507,66163.1990455091,-274716.69459174597,301.9562398301563,254.86278455782076,1.0309117420841871,317
30057000,60114.00001132933,-339233.81667658687,65822.75236448715,-273411.0643120997,300.40250601517954,256.9295078635236,1.022619158872531,317
30058000,60116.000011329736,-340331.49685505545,65427.050824285194,-274904.44603077025,298.5965995460531,256.0926464445495,1.0259608812228036,317
30059000,60118.00001133014,-340514.90503583336,66102.01445281168,-274412.8905830217,301.6770050015358,256.0413274946951,1.026166516912679,317
30060000,60120.00001133055,-339847.69427351817,65527.645899391035,-274320.04837412713,299.0556963107591,256.2507774099188,1.0253277663256755,317
30061000,60122.00001133096,-339487.37053154735,65295.42520889861,-274191.94532264874,297.99588530519355,256.11598033136846,1.0258674092924218,317
30062000,60124.000011331365,-341087.511268934,66774.80247704624,-274312.70879188774,304.7474814133686,256.371575031309,1.0248446505383562,316
30063000,60126.00001133177,-340083.5536591213,66560.60311414301,-273522.95054497826,303.76991631480394,256.8839143393639,1.0228006603551993,316
30064000,60128.00001133218,-339727.9458689471,65044.387592637446,-274683.55827630963,296.85019743405525,255.87571168097816,1.0268307042307763,316
30065000,60130.00001133259,-340294.8060100777,65768.13659332204,-274526.66941675567,300.15325003701713,254.99679365675186,1.0303699644733668,316
