#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
25001000,50002.00000926924,-345652.3190205763,60044.966858033324,-285607.352162543,274.0337933283284,273.72426636562705,0.9598748430655164,0
25002000,50004.00000926965,-337225.85564167006,64148.168159968685,-273077.6874817014,292.76002262607426,273.72426636562705,0.9598748430655164,308
25003000,50006.00000927006,-335319.92107135756,66026.2492110891,-269293.67186026846,301.33122686761226,273.72426636562705,0.9598748430655164,314
25004000,50008.000009270465,-334746.03337604506,66363.92708468367,-268382.1062913614,302.8723243728028,273.72426636562705,0.9598748430655164,319
25005000,50010.00000927087,-333811.7819112013,65855.12608745089,-267956.6558237504,300.5502535212926,273.72426636562705,0.9598748430655164,321
25006000,50012.00000927128,-334687.8395283888,64947.88793761516,-269739.95159077365,296.40979138664824,273.72426636562705,0.9598748430655164,321
25007000,50014.00000927169,-334213.11150104506,65218.80238025333,-268994.30912079173,297.64619330788,273.72426636562705,0.9598748430655164,323
25008000,50016.000009272095,-334482.98357135756,66156.11884079385,-268326.8647305637,301.92392712424294,273.72426636562705,0.9598748430655164,324
25009000,50018.0000092725,-334509.7887471388,65854.00262596906,-268655.78612116975,300.54512625704996,273.72426636562705,0.9598748430655164,325
25010000,50020.00000927291,-334470.1315205763,65905.66392025189,-268564.4676003244,300.7808985653941,273.72426636562705,0.9598748430655164,325
25011000,50022.00000927332,-334729.80388385756,65132.87736396515,-269596.9265198924,297.2540478977423,273.72426636562705,0.9598748430655164,326
25012000,50024.000009273725,-334124.6071065138,65524.07318976917,-268600.53391674464,299.0393911444584,273.72426636562705,0.9598748430655164,325
25013000,50026.00000927413,-334140.68474323256,65320.13222407538,-268820.5525191572,298.10864341707196,273.72426636562705,0.9598748430655164,326
25014000,50028.00000927454,-334554.8688252638,66067.28986960155,-268487.57895566226,301.51852861697364,273.72426636562705,0.9598748430655164,325
25015000,50030.00000927495,-334319.07536823256,66266.9775436091,-268052.09782462346,302.4298651311328,273.72426636562705,0.9598748430655164,326
25016000,50032.000009275354,-334302.7740987013,65925.6344972304,-268377.1396014709,300.87204047537836,273.72426636562705,0.9598748430655164,326
25017000,50034.00000927576,-334594.7467549513,66171.13068773609,-268423.6160672152,301.9924383347191,273.72426636562705,0.9598748430655164,326
25018000,50036.00000927617,-333596.00700885756,65890.59884210653,-267705.40816675103,300.7121444178447,273.72426636562705,0.9598748430655164,326
