filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol,DFT_spe_Energy (+ CPCM) / kcal/mol,DFT_spe_Energy (exclude CPCM) / kcal/mol,MACE24medium_Energy / kcal/mol,MACE23large_Energy / kcal/mol,OMOL25_Energy / kcal/mol,UMA_Energy / kcal/mol
REST600d_0162_opt.json,2.58341902,SAGE 10 ns (16 REST up to 600K),-138892.08257330713,-2095863.8567344493,-2095821.3100780672,-2095727.401200937,-2095725.6995996677,-2094282.516791197,-2094282.415136599
REST600d_0157_opt.json,2.62594016,SAGE 10 ns (16 REST up to 600K),-138891.99503580164,-2095862.596206892,-2095820.1280023127,-2095725.617731538,-2095724.7417598355,-2094280.9517679692,-2094280.961621113
REST600d_0166_opt.json,2.63199471,SAGE 10 ns (16 REST up to 600K),-138891.90665743407,-2095864.470300109,-2095820.6201330863,-2095727.5027212452,-2095725.4576266287,-2094282.093237734,-2094282.0862217634
REST600d_0844_opt.json,2.56368079,SAGE 10 ns (16 REST up to 600K),-138891.47926105416,-2095860.901178559,-2095817.1046949315,-2095724.2177868187,-2095722.7681675595,-2094278.6690483761,-2094278.5507665959
REMD_0960_opt.json,2.57969472,SAGE 10 ns (16 REMD up to 475K),-138891.4310432626,-2095860.8200779643,-2095816.886223832,-2095724.049523146,-2095722.5684914335,-2094278.417551136,-2094278.471237604
REMD_0063_opt.json,2.60016511,SAGE 10 ns (16 REMD up to 475K),-138891.4047506355,-2095861.566518867,-2095818.6555138165,-2095724.9474216544,-2095723.551836319,-2094279.8635008126,-2094279.7750643976
REST600d_0179_opt.json,2.51187871,SAGE 10 ns (16 REST up to 600K),-138891.2258352694,-2095862.065861182,-2095818.8055996825,-2095725.4782300903,-2095724.292377584,-2094280.0618174383,-2094280.1129966315
REST600d_0167_opt.json,2.63648798,SAGE 10 ns (16 REST up to 600K),-138891.1270151521,-2095864.0699842712,-2095821.247129175,-2095726.7372136083,-2095725.1304726964,-2094282.1942105219,-2094282.1193221828
REMD_0069_opt.json,2.5838554,SAGE 10 ns (16 REMD up to 475K),-138891.12512635,-2095861.8017360824,-2095818.8319183784,-2095725.4186244763,-2095723.427159676,-2094280.1080260698,-2094280.0302785623
REMD_0943_opt.json,2.53718844,SAGE 10 ns (16 REMD up to 475K),-138890.9727734399,-2095859.939843946,-2095815.170962959,-2095722.704609253,-2095721.44933107,-2094277.1560840874,-2094277.1596470568
REST600d_0149_opt.json,2.59535129,SAGE 10 ns (16 REST up to 600K),-138890.95167031224,-2095862.1325889395,-2095818.8400333163,-2095725.134217688,-2095723.7349893523,-2094280.1789555494,-2094280.1477685717
REST600d_0869_opt.json,2.60046269,SAGE 10 ns (16 REST up to 600K),-138890.89663149783,-2095861.91455096,-2095817.9246690583,-2095725.045659422,-2095722.9977997388,-2094279.3070617944,-2094279.2837485387
REST600d_0870_opt.json,2.59167217,SAGE 10 ns (16 REST up to 600K),-138890.88782754657,-2095861.6727906216,-2095816.8470912047,-2095724.458484605,-2095722.4263625145,-2094278.1922483179,-2094278.1949755286
REMD_0279_opt.json,2.55530502,SAGE 10 ns (16 REMD up to 475K),-138890.8613278415,-2095861.6429173525,-2095818.4820677112,-2095725.2445153613,-2095723.5404404767,-2094279.8449161893,-2094279.7023534337
REST600d_0860_opt.json,2.5990802,SAGE 10 ns (16 REST up to 600K),-138890.84761676984,-2095861.7265331824,-2095817.746580983,-2095724.1347667652,-2095722.550773026,-2094278.8527832204,-2094278.721437214
REMD_0062_opt.json,2.53333581,SAGE 10 ns (16 REMD up to 475K),-138890.8153314318,-2095861.2544550784,-2095817.932023125,-2095724.8625878608,-2095723.2956542668,-2094279.3439011364,-2094279.3186304402
REMD_0449_opt.json,2.59640832,SAGE 10 ns (16 REMD up to 475K),-138890.75591887967,-2095861.904283444,-2095818.586303667,-2095724.5420254944,-2095723.465603127,-2094280.1561701414,-2094280.1008781374
REMD_0120_opt.json,2.54841291,SAGE 10 ns (16 REMD up to 475K),-138890.7478302887,-2095861.315267819,-2095818.4265362008,-2095725.2013881565,-2095723.1079875648,-2094279.2589617101,-2094279.2919521618
REMD_0450_opt.json,2.62580232,SAGE 10 ns (16 REMD up to 475K),-138890.72075955043,-2095863.5211311528,-2095820.258012605,-2095725.4270288595,-2095724.5864977955,-2094281.3563189297,-2094281.396017439
REMD_0957_opt.json,2.55060132,SAGE 10 ns (16 REMD up to 475K),-138890.66356838017,-2095860.6658707224,-2095816.9079330896,-2095723.709739453,-2095722.1193663443,-2094278.069699772,-2094278.0925731473
MACEsmall_1900_opt.json,2.21220872,MACEsmall 0.1 ns (ML/MM),-138888.9442878465,-2095861.0485873416,-2095816.0004341016,-2095722.9423386443,-2095722.4156433493,-2094276.4131830093,-2094276.6310959628
MACEsmall_1893_opt.json,2.20683678,MACEsmall 0.1 ns (ML/MM),-138888.84837309585,-2095861.92347598,-2095815.942300316,-2095723.164352152,-2095722.6169817448,-2094276.4970007609,-2094276.7628158587
MACEsmall_1994_opt.json,2.1706869,MACEsmall 0.1 ns (ML/MM),-138888.8080556426,-2095860.76429132,-2095816.029148355,-2095722.634788046,-2095722.2610498045,-2094276.5131880778,-2094276.7591209265
MACEsmall_1992_opt.json,2.15750553,MACEsmall 0.1 ns (ML/MM),-138888.80471101962,-2095859.7525045243,-2095815.19988824,-2095721.686460991,-2095721.2463557653,-2094275.559499981,-2094275.8084019774
MACEsmall_1787_opt.json,2.17765011,MACEsmall 0.1 ns (ML/MM),-138888.7286506537,-2095861.4433000544,-2095815.49221282,-2095723.2919803823,-2095722.62465266,-2094276.1817439669,-2094276.473643515
MACEsmall_1776_opt.json,2.17192573,MACEsmall 0.1 ns (ML/MM),-138888.60566516485,-2095860.5035804345,-2095814.381058996,-2095721.5648122283,-2095721.1171135013,-2094274.6691095822,-2094274.9413468228
MACEsmall_1762_opt.json,2.13880558,MACEsmall 0.1 ns (ML/MM),-138888.59716869297,-2095858.9197778783,-2095813.515040767,-2095720.4440368584,-2095719.9528275484,-2094273.6577321854,-2094273.9157175412
MACEsmall_1986_opt.json,2.16862903,MACEsmall 0.1 ns (ML/MM),-138888.59091870332,-2095859.8291102448,-2095815.0072913445,-2095721.6017043416,-2095721.1158605963,-2094275.3371663133,-2094275.6162655586
MACEsmall_1796_opt.json,2.19064271,MACEsmall 0.1 ns (ML/MM),-138888.5876054558,-2095861.672257313,-2095815.9315205072,-2095723.2872050276,-2095722.747304596,-2094276.427456879,-2094276.7073698964
MACEsmall_1919_opt.json,2.2237875,MACEsmall 0.1 ns (ML/MM),-138888.58370234983,-2095861.7942140475,-2095815.993818079,-2095723.6010477997,-2095722.9670285452,-2094276.784281648,-2094277.0704628543
ANI2x_L_1265_opt.json,2.18857701,ANI2x 0.2 ns (ML/MM),-138888.2257963166,-2095859.844730544,-2095811.998038394,-2095721.5977225783,-2095720.5542588232,-2094273.6150645255,-2094273.911780687
ANI2x_L_1264_opt.json,2.16511413,ANI2x 0.2 ns (ML/MM),-138888.1768631648,-2095860.0469619995,-2095812.0973044075,-2095721.590764995,-2095720.6009613732,-2094273.71381596,-2094273.9888463877
ANI2x_L_1276_opt.json,2.1983533,ANI2x 0.2 ns (ML/MM),-138888.02628610513,-2095860.400601934,-2095812.3193651168,-2095721.6230322013,-2095720.870834569,-2094273.9850414887,-2094274.2618753985
ANI2x_L_1266_opt.json,2.16461838,ANI2x 0.2 ns (ML/MM),-138887.98561097175,-2095859.9153893287,-2095811.810153431,-2095721.433695396,-2095720.5258864504,-2094273.4020341607,-2094273.700971672
ANI2x_L_1256_opt.json,2.20081992,ANI2x 0.2 ns (ML/MM),-138887.9820655459,-2095860.309382002,-2095812.3475224976,-2095722.258628032,-2095720.824640708,-2094274.0558829936,-2094274.3401507495
ANI2x_L_1277_opt.json,2.1953595,ANI2x 0.2 ns (ML/MM),-138887.97351887333,-2095860.030512928,-2095812.348304064,-2095721.7038838172,-2095720.820908979,-2094274.007628958,-2094274.2673958014
ANI2x_L_1279_opt.json,2.19406953,ANI2x 0.2 ns (ML/MM),-138887.97082058463,-2095859.663049416,-2095811.85547304,-2095721.5243875904,-2095720.443291889,-2094273.6480329875,-2094273.889633091
ANI2x_L_1262_opt.json,2.20532098,ANI2x 0.2 ns (ML/MM),-138887.95762407035,-2095860.274975494,-2095812.0339347257,-2095721.688702938,-2095720.7520079664,-2094273.7861310348,-2094274.070904647
ANI2x_L_1254_opt.json,2.20946748,ANI2x 0.2 ns (ML/MM),-138887.9545367261,-2095860.309225054,-2095812.4730769373,-2095722.283696188,-2095721.048869894,-2094274.2412233735,-2094274.5375216508
ANI2x_L_1258_opt.json,2.22505721,ANI2x 0.2 ns (ML/MM),-138887.92669415174,-2095860.5538013007,-2095812.425467424,-2095722.1924448053,-2095720.955897163,-2094274.2120598105,-2094274.4873761595
SAGE_0968_opt.json,2.62628263,SAGE 10 ns classic,-138887.77920443637,-2095861.286721144,-2095817.0582295728,-2095722.3128798197,-2095721.69759874,-2094277.542336342,-2094277.6934106273
GAFF_0761_opt.json,2.57324288,GAFF 10 ns classic,-138887.64180506574,-2095858.988322547,-2095815.1596709248,-2095721.178161242,-2095719.581546645,-2094275.783703127,-2094276.0243135074
SAGE_0966_opt.json,2.65170869,SAGE 10 ns classic,-138887.60760582524,-2095861.8118916373,-2095818.5456116989,-2095723.5895984168,-2095722.754708446,-2094278.8161858083,-2094279.0123690472
SAGE_0356_opt.json,2.51033289,SAGE 10 ns classic,-138887.40478864135,-2095859.4342654068,-2095814.861338538,-2095720.782402087,-2095720.0127554396,-2094275.2486639176,-2094275.48879044
SAGE_0226_opt.json,2.49822056,SAGE 10 ns classic,-138887.30522178832,-2095859.275463368,-2095815.915272315,-2095720.994367706,-2095720.4243558536,-2094276.0638800699,-2094276.2689487366
GAFF_0900_opt.json,2.58013707,GAFF 10 ns classic,-138887.2117229473,-2095858.8323711413,-2095813.5388769428,-2095720.0487918756,-2095718.1004072847,-2094274.226113743,-2094274.507610305
GAFF_0786_opt.json,2.6203977,GAFF 10 ns classic,-138886.95989103545,-2095859.26301156,-2095815.52041464,-2095720.6826309324,-2095718.9872689904,-2094275.6283840619,-2094275.8304396018
SAGE_0963_opt.json,2.72909486,SAGE 10 ns classic,-138886.91730827471,-2095861.2899384096,-2095816.696641344,-2095720.5926534885,-2095720.5971427124,-2094276.4030879342,-2094276.7924852753
SAGE_0227_opt.json,2.53722326,SAGE 10 ns classic,-138886.90254298795,-2095858.7633459223,-2095813.5444418364,-2095719.061095352,-2095718.683007632,-2094273.6887212202,-2094274.0450181356
GAFF_0994_opt.json,2.60723277,GAFF 10 ns classic,-138886.6320426833,-2095859.1951364155,-2095813.5813804488,-2095719.5987641087,-2095718.059590848,-2094273.774430424,-2094274.1672147813
SAGE_0964_opt.json,2.68151319,SAGE 10 ns classic,-138886.6178107792,-2095861.0226598333,-2095815.1710277551,-2095720.3070487035,-2095720.0881234168,-2094275.3680233862,-2094275.7864743213
GAFF_0959_opt.json,2.61125964,GAFF 10 ns classic,-138886.54749839575,-2095857.555188181,-2095812.795507104,-2095718.158435408,-2095716.9087885933,-2094272.4236692088,-2094273.0902743477
SAGE_0087_opt.json,2.58023423,SAGE 10 ns classic,-138886.5298277423,-2095861.318831453,-2095815.3210104853,-2095721.121675524,-2095720.5941182007,-2094276.1389443479,-2094276.433879021
GAFF_0814_opt.json,2.59331264,GAFF 10 ns classic,-138886.46245210097,-2095858.5604375624,-2095814.5584692103,-2095719.953117315,-2095719.3311027768,-2094275.5689352609,-2094275.733403675
SAGE_0083_opt.json,2.57938948,SAGE 10 ns classic,-138886.4536983504,-2095861.0915016031,-2095814.849210032,-2095720.5012821276,-2095720.6019176517,-2094275.5736858824,-2094275.998427002
SAGE_0965_opt.json,2.6606864,SAGE 10 ns classic,-138886.39847128332,-2095861.4853478624,-2095815.999154435,-2095720.4498615332,-2095719.9500039348,-2094276.0129428024,-2094276.2914702217
GAFF_0762_opt.json,2.5565201,GAFF 10 ns classic,-138886.2985279249,-2095856.7362566711,-2095812.2405447848,-2095719.0447196476,-2095717.3913971805,-2094273.020334589,-2094273.2413266492
GAFF_0898_opt.json,2.6200148,GAFF 10 ns classic,-138886.2340262748,-2095856.81380794,-2095810.8838370105,-2095718.0929197792,-2095716.281121752,-2094271.543901726,-2094271.8325462174
