filename,XTB_opt_Energy (ALPB),HOMO_LUMO_gap,sampling method in explicit TIP3P,DFT_spe_Energy (CPCM),DFT_spe_Energy (exclude CPCM),MACE24medium_Energy,MACE23large_Energy,OMOL25_Energy,UMA_Energy,RMSD_to_bioactive,conf. cluster
REST600d_0166_opt.json,-221.33850934,2.63199471,SAGE 10 ns (16 REST up to 600K),-3339.9751562130728,-3339.9052764710727,-90873.62339438232,-90873.53471627044,-90810.94845363517,-90810.94814941305,3.5650880541172905,cluster_1
REST600d_0167_opt.json,-221.3372669,2.63648798,SAGE 10 ns (16 REST up to 600K),-3339.974518268696,-3339.906275653696,-90873.5902009196,-90873.52053042653,-90810.95282909292,-90810.94958564632,3.27983201420393,cluster_1
REST600d_0162_opt.json,-221.33878968,2.58341902,SAGE 10 ns (16 REST up to 600K),-3339.974178433217,-3339.9063759692167,-90873.61899232231,-90873.54520855378,-90810.96681854127,-90810.96241351956,3.435576640893452,cluster_1
REMD_0450_opt.json,-221.33661949,2.62580232,SAGE 10 ns (16 REMD up to 475K),-3339.9736436149174,-3339.9046993949173,-90873.53338950912,-90873.49694292757,-90810.91649982332,-90810.9182212054,3.326441323329625,cluster_1
REST600d_0157_opt.json,-221.33865018,2.62594016,SAGE 10 ns (16 REST up to 600K),-3339.9721696531715,-3339.904492210172,-90873.54165863922,-90873.5036753029,-90810.89895793796,-90810.89938136953,3.471169491507639,cluster_1
REST600d_0149_opt.json,-221.33698747,2.59535129,SAGE 10 ns (16 REST up to 600K),-3339.9714308303774,-3339.9024396993773,-90873.5206928145,-90873.46002035176,-90810.86544677608,-90810.86409255856,3.4782119052195912,cluster_1
REST600d_0179_opt.json,-221.33742438,2.51187871,SAGE 10 ns (16 REST up to 600K),-3339.971324492847,-3339.902384825847,-90873.53560966485,-90873.48418947116,-90810.8603713216,-90810.86258384604,3.6159088781572213,cluster_1
REST600d_0869_opt.json,-221.33689976,2.60046269,SAGE 10 ns (16 REST up to 600K),-3339.9710833644776,-3339.9009809724776,-90873.51685280642,-90873.42805479743,-90810.82764312618,-90810.82663032429,3.4620581578308673,cluster_1
REMD_0449_opt.json,-221.33667552,2.59640832,SAGE 10 ns (16 REMD up to 475K),-3339.9710670021373,-3339.9020353551373,-90873.4950145475,-90873.44833939496,-90810.8644568622,-90810.86206409337,3.3010719316939667,cluster_1
SAGE_0966_opt.json,-221.33165836,2.65170869,SAGE 10 ns classic,-3339.9709197663096,-3339.9019705083097,-90873.45371600108,-90873.41751402506,-90810.80635616176,-90810.81486389058,2.34205890276182,cluster_1
REMD_0069_opt.json,-221.33726389,2.5838554,SAGE 10 ns (16 REMD up to 475K),-3339.9709035823903,-3339.9024267673904,-90873.53302508352,-90873.44667243412,-90810.86237880588,-90810.85900375264,3.3720558992977256,cluster_1
REST600d_0860_opt.json,-221.33682165,2.5990802,SAGE 10 ns (16 REST up to 600K),-3339.97078373885,-3339.90069717085,-90873.47735524956,-90873.4086711051,-90810.80794498324,-90810.8022477328,3.355585747208171,cluster_1
REST600d_0870_opt.json,-221.33688573,2.59167217,SAGE 10 ns (16 REST up to 600K),-3339.970698094564,-3339.899263741564,-90873.49139209976,-90873.40327649444,-90810.77929756044,-90810.77941963077,3.575435539643516,cluster_1
REMD_0279_opt.json,-221.3368435,2.55530502,SAGE 10 ns (16 REMD up to 475K),-3339.970650488443,-3339.901869244443,-90873.52547547311,-90873.45158444528,-90810.85096523166,-90810.8447844686,3.6546398776343745,cluster_1
REMD_0063_opt.json,-221.3377095,2.60016511,SAGE 10 ns (16 REMD up to 475K),-3339.9705287396146,-3339.9021456486144,-90873.51259308188,-90873.45207858464,-90810.85176822536,-90810.8479363622,3.4958455236887795,cluster_1
SAGE_0965_opt.json,-221.32973148,2.6606864,SAGE 10 ns classic,-3339.9703993852872,-3339.897912467288,-90873.3175726968,-90873.29589818466,-90810.68480655568,-90810.69688293355,2.1784280084710153,cluster_1
SAGE_0087_opt.json,-221.32994081,2.58023423,SAGE 10 ns classic,-3339.970134024298,-3339.8968317752983,-90873.34670347426,-90873.32382786403,-90810.6902672946,-90810.70305511355,2.427432108954191,cluster_1
REMD_0120_opt.json,-221.33666263,2.54841291,SAGE 10 ns (16 REMD up to 475K),-3339.970128345281,-3339.901780749281,-90873.52360541828,-90873.43283269294,-90810.82555648676,-90810.8269831838,3.4582659292445848,cluster_1
SAGE_0963_opt.json,-221.3305583,2.72909486,SAGE 10 ns classic,-3339.970087980267,-3339.8990239842674,-90873.32376435211,-90873.32395901105,-90810.7017218768,-90810.71860381978,1.5375966323885832,cluster_1
SAGE_0968_opt.json,-221.33193182,2.62628263,SAGE 10 ns classic,-3339.9700828532245,-3339.8996002122244,-90873.39835572887,-90873.37167629604,-90810.75112029894,-90810.75767394918,2.5390349487686774,cluster_1
REMD_0062_opt.json,-221.3367702,2.53333581,SAGE 10 ns (16 REMD up to 475K),-3339.970031433937,-3339.900992691937,-90873.50891457204,-90873.44097017894,-90810.82923957704,-90810.82814189808,3.6093526039614248,cluster_1
SAGE_0083_opt.json,-221.32981949,2.57938948,SAGE 10 ns classic,-3339.9697717508484,-3339.896079912849,-90873.31980236438,-90873.32416605894,-90810.66575786448,-90810.68417331576,2.0021201531597015,cluster_1
SAGE_0964_opt.json,-221.33008102,2.68151319,SAGE 10 ns classic,-3339.9696620444224,-3339.896592762422,-90873.31138013628,-90873.30188723514,-90810.65684863908,-90810.6749856174,2.1035270253615583,cluster_1
