#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.05000000000000004,-8834167.623814408,6542.050045035547,-8827625.573769372,153.55733132782927,54.72937833532341,0.923312931339637,0
200,0.10000000000000007,-8833370.42098678,6357.046612894628,-8827013.374373887,149.21486480273649,54.38364013028829,0.9291827950486918,1.45
300,0.1500000000000001,-8833137.652862994,6628.825851694681,-8826508.827011298,155.59416400301004,53.820004583702655,0.9389137576641026,1.59
400,0.20000000000000015,-8833037.311202874,7157.503980536014,-8825879.807222338,168.0034855516691,53.89757672120493,0.9375624251637744,1.57
500,0.25000000000000017,-8832951.321649043,7703.819695192622,-8825247.50195385,180.82680280354265,53.85625523195093,0.938281774764104,1.54
600,0.3000000000000002,-8832612.436373647,7871.67923253309,-8824740.757141113,184.76686171695414,54.036768580292666,0.935147383324708,1.49
700,0.35000000000000026,-8832342.336561205,8033.3286038865335,-8824309.007957319,188.56115339998595,53.44632693270923,0.9454783077012092,1.49
800,0.4000000000000003,-8831947.698822651,8205.207062529633,-8823742.491760122,192.59554586722234,53.54938545659385,0.9436586864688497,1.51
900,0.45000000000000034,-8831952.550922364,8485.398519462557,-8823467.152402902,199.17229965101924,53.36272917794333,0.9469594887599987,1.52
1000,0.5000000000000003,-8831657.541662633,8666.846086987178,-8822990.695575647,203.43130165393887,53.45621090556568,0.9453034901866234,1.55
1100,0.5499999999999948,-8831537.009118432,8870.680943495594,-8822666.328174938,208.21578608642588,53.25500798898393,0.948874944336434,1.56
1200,0.5999999999999893,-8831399.364373261,9163.3596480079,-8822236.004725253,215.08564499793036,53.25500798898393,0.948874944336434,1.57
1300,0.6499999999999838,-8831237.821755702,9247.914451185148,-8821989.907304516,217.07034548745065,53.25500798898393,0.948874944336434,1.58
1400,0.6999999999999783,-8830824.705769531,9312.356712891604,-8821512.34905664,218.58295723212572,53.14568716488884,0.9508267826964539,1.57
1500,0.7499999999999728,-8830657.770916605,9477.513635532465,-8821180.257281072,222.4595794096483,53.2030541637894,0.9498015393179509,1.6
1600,0.7999999999999673,-8830310.460016904,9529.832265014062,-8820780.62775189,223.6876209358699,52.98709690172993,0.9536726051419832,1.59
1700,0.8499999999999618,-8830509.060895465,9960.37391367741,-8820548.686981788,233.793448029687,53.155765370182415,0.9506465082248532,1.59
1800,0.8999999999999563,-8830187.868428783,10043.75937039801,-8820144.109058386,235.75070120222793,53.348409091730275,0.947213677061959,1.59
1900,0.9499999999999508,-8829732.681437181,9895.702029432403,-8819836.979407748,232.2754465029115,53.36849604001237,0.9468571627594207,1.59
2000,0.9999999999999453,-8829914.953065295,10251.262581705058,-8819663.69048359,240.62129056655797,52.88940745114721,0.9554340873994308,1.57
2100,1.0499999999999399,-8829829.690158686,10355.364715510514,-8819474.325443175,243.06481297049146,53.006127601824275,0.9533302096839903,1.56
