#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.05000000000000004,-8833924.378055315,6583.551741717616,-8827340.826313598,154.531473950433,54.91302594794302,0.9202250626124232,0
200,0.10000000000000007,-8833250.553780017,6487.599751625792,-8826762.954028392,152.27925462580768,54.30408542730918,0.9305440344599025,1.33
300,0.1500000000000001,-8833058.144533081,6901.064474196668,-8826157.080058884,161.9842460213359,53.830003580632145,0.9387393531470031,1.34
400,0.20000000000000015,-8832792.092761628,7248.554543428589,-8825543.5382182,170.1406568293927,53.78732795856056,0.9394841621453138,1.35
500,0.25000000000000017,-8832546.815210883,7444.325773970457,-8825102.489436911,174.73586895798033,53.69339275525586,0.9411277654127574,1.31
600,0.3000000000000002,-8832355.884161625,7830.103094951948,-8824525.781066673,183.79097179102436,53.69339275525586,0.9411277654127574,1.26
700,0.35000000000000026,-8832217.212856695,8125.829114774242,-8824091.38374192,190.73235837405306,53.37728994881311,0.9467011680368593,1.25
800,0.4000000000000003,-8831884.312046906,8355.536573168123,-8823528.775473738,196.1241337432785,53.46377753818559,0.9451697030777824,1.24
900,0.45000000000000034,-8831689.39953277,8652.707857705187,-8823036.691675065,203.09944409502415,53.272117884793964,0.9485701854479389,1.22
1000,0.5000000000000003,-8831467.317886874,8856.394035559148,-8822610.923851315,207.88043868912004,53.078642002197505,0.9520277994130181,1.2
1100,0.5499999999999948,-8831228.859335527,9054.624912084779,-8822174.234423442,212.533384505264,53.078642002197505,0.9520277994130181,1.2
1200,0.5999999999999893,-8830899.313610908,9203.491440915968,-8821695.822169991,216.02763275069,52.634006262490004,0.9600702346155192,1.18
1300,0.6499999999999838,-8830686.73174377,9345.585025273147,-8821341.146718496,219.3629040284223,52.3762616064244,0.9647947599029338,1.18
1400,0.6999999999999783,-8830706.280632552,9676.146228952799,-8821030.1344036,227.12195446798316,52.423168513956085,0.9639314862803604,1.18
1500,0.7499999999999728,-8830634.868304309,9912.875002323184,-8820721.993301986,232.6785366458973,52.423168513956085,0.9639314862803604,1.17
1600,0.7999999999999673,-8830122.988450384,9724.683886705432,-8820398.304563679,228.26124767761763,52.497808106606016,0.9625610013768326,1.17
1700,0.8499999999999618,-8830091.292124454,9884.114760135999,-8820207.177364318,232.00346598636338,52.367942481802956,0.9649480263377291,1.17
1800,0.8999999999999563,-8830166.405728338,10059.267003779532,-8820107.138724558,236.11470190244947,51.890328756674286,0.9738296895003553,1.17
1900,0.9499999999999508,-8829849.734746573,10030.739318103413,-8819818.99542847,235.44508989226492,51.890328756674286,0.9738296895003553,1.17
2000,0.9999999999999453,-8829916.346982623,10325.992940398282,-8819590.354042225,242.37538819208916,51.91166897578057,0.9734293606464354,1.17
2100,1.0499999999999399,-8829557.140453849,10234.962030799128,-8819322.17842305,240.23867822347643,51.84356902702576,0.9747080243422528,1.17
2200,1.0999999999999344,-8829630.09081358,10436.56328312622,-8819193.527530454,244.97073470219266,51.84356902702576,0.9747080243422528,1.18
2300,1.1499999999999289,-8829726.881560389,10624.448313612607,-8819102.433246776,249.38083913112948,51.84356902702576,0.9747080243422528,1.18
2400,1.1999999999999234,-8829510.263610465,10489.018693595717,-8819021.24491687,246.2019868005337,51.856118277543935,0.9744721436865877,1.19
2500,1.2499999999999178,-8829332.849998577,10549.752786308061,-8818783.097212268,247.62755908037303,51.719909687363575,0.9770384953616761,1.19
2600,1.2999999999999123,-8829099.24831445,10572.968208927428,-8818526.280105522,248.1724797579186,51.733366041540535,0.9767843580989364,1.2
2700,1.3499999999999068,-8829086.692604527,10791.052899294998,-8818295.639705231,253.29144137174987,51.580783480442086,0.9796738112817512,1.2
2800,1.3999999999999013,-8828884.81091811,10812.178108785301,-8818072.632809324,253.78729982143173,51.50499724890398,0.9811153371580619,1.2
2900,1.4499999999998958,-8828781.964305427,10893.776474268176,-8817888.18783116,255.70260575122526,51.242197870168766,0.9861470592892244,1.2
3000,1.4999999999998903,-8828670.843366144,10915.326904872083,-8817755.516461272,256.2084451425049,51.531631147141226,0.9806082519859616,1.21
3100,1.5499999999998848,-8828431.394162145,10972.186528967752,-8817459.207633177,257.54307451347097,51.87580818053771,0.9741022745191996,1.21
3200,1.5999999999998793,-8828270.148055557,10952.249160832027,-8817317.898894725,257.07509749960735,51.72387984326081,0.9769635010813565,1.22
3300,1.6499999999998738,-8828122.462477362,11031.15931750246,-8817091.303159859,258.92730483363226,51.503116932031254,0.9811511564993455,1.22
3400,1.6999999999998683,-8828047.767049646,11134.015327849193,-8816913.751721798,261.3415777834176,51.503116932031254,0.9811511564993455,1.22
