#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.05000000000000004,-8831968.738805538,8612.59330561757,-8823356.14549992,202.15786102494965,55.143931139717374,0.9163717873713143,0
200,0.10000000000000007,-8830805.416252395,8369.674977923743,-8822435.741274472,196.45599542097284,55.01320354959053,0.9185493568945158,0.971
300,0.1500000000000001,-8830245.903816942,8617.858720080578,-8821628.045096861,202.2814527106916,54.71136211607647,0.9236169743676512,1.02
400,0.20000000000000015,-8830195.958289258,9336.439433931373,-8820859.518855326,219.14823544744385,54.354064185671696,0.9296883958588021,1.05
500,0.25000000000000017,-8829992.455348484,9841.25741999317,-8820151.197928492,230.9975032170727,54.354064185671696,0.9296883958588021,1.08
600,0.3000000000000002,-8829520.08917653,10075.70889854175,-8819444.380277988,236.5006319189242,54.08936471008194,0.9342380523793534,1.1
700,0.35000000000000026,-8829146.110175546,10526.616000055801,-8818619.49417549,247.08448418367527,53.847138096131225,0.9384406400758019,1.11
800,0.4000000000000003,-8828629.599862065,10707.339456670918,-8817922.260405395,251.32648959713387,53.847138096131225,0.9384406400758019,1.09
900,0.45000000000000034,-8828317.507616883,11061.138078287244,-8817256.369538596,259.63097699617094,53.71072575272824,0.9408240539109954,1.09
1000,0.5000000000000003,-8827886.957413722,11101.056164754322,-8816785.901248967,260.56794855514727,53.445440191347856,0.9454939946282646,1.07
1100,0.5499999999999948,-8827765.533633245,11675.036856318824,-8816090.496776927,274.0406280093852,53.3768812012093,0.9467084176517722,1.09
1200,0.5999999999999893,-8827241.668570261,11690.242275773751,-8815551.426294487,274.3975350365625,52.97215784257324,0.9539415572112317,1.11
1300,0.6499999999999838,-8826886.562206281,11892.903416913468,-8814993.658789368,279.15446960340876,53.2350071750242,0.9492314441706565,1.13
1400,0.6999999999999783,-8826705.29480901,12080.675993810233,-8814624.6188152,283.56193448159286,52.86937947765929,0.9557960248528479,1.14
1500,0.7499999999999728,-8826554.585019417,12364.22131988639,-8814190.363699531,290.2174114777944,52.79658054765341,0.9571139308079573,1.16
1600,0.7999999999999673,-8826031.398540713,12320.384078294504,-8813711.014462419,289.1884481122923,52.79658054765341,0.9571139308079573,1.17
1700,0.8499999999999618,-8825662.341934565,12404.969701766968,-8813257.372232798,291.17387202677133,53.08889914261148,0.9518438610949461,1.18
1800,0.8999999999999563,-8825167.476540148,12299.586131594784,-8812867.890408553,288.7002712915217,52.81174870444875,0.9568390364041617,1.19
1900,0.9499999999999508,-8825188.037727976,12753.909613318741,-8812434.128114657,299.3643140507238,52.81252769764229,0.9568249228760055,1.19
2000,0.9999999999999453,-8825077.099223388,12989.283022379503,-8812087.816201009,304.88908263428596,52.523793226104175,0.9620847931460718,1.19
2100,1.0499999999999399,-8824610.054107085,12899.37061838631,-8811710.683488699,302.77862662807706,52.739273216852574,0.9581539459864252,1.2
2200,1.0999999999999344,-8824811.923274573,13393.6380655861,-8811418.285208987,314.38024838757644,52.49353819116436,0.9626392977581575,1.2
2300,1.1499999999999289,-8824478.111347899,13422.48851370113,-8811055.622834198,315.05743639281314,52.353304850837006,0.9652178192982901,1.21
2400,1.1999999999999234,-8824239.025513453,13331.731741471682,-8810907.293771982,312.9271610742901,52.40391810118551,0.9642855834483931,1.23
2500,1.2499999999999178,-8823827.751936216,13215.045098609757,-8810612.706837606,310.1882505865787,52.63761789817236,0.9600043611194271,1.24
2600,1.2999999999999123,-8823722.061223973,13618.114393387455,-8810103.946830586,319.6492367942923,52.63761789817236,0.9600043611194271,1.25
