#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.05000000000000004,-140779.0414860294,6518.296070778742,-134260.74541525065,152.99976957422072,54.91052489496205,0.9202669768290584,0
200,0.10000000000000007,-140123.3842351772,6416.393375798303,-133706.9908593789,150.60787318263252,54.61062762272367,0.925320673666032,0.717
300,0.1500000000000001,-140019.83609991055,6807.030809805088,-133212.80529010546,159.7770543215559,53.692647823475724,0.9411408226190983,0.718
400,0.20000000000000015,-139752.28378152434,7123.339751033156,-132628.94403049117,167.20157057498508,53.692647823475724,0.9411408226190983,0.722
500,0.25000000000000017,-139675.77772880538,7436.023738962947,-132239.75398984243,174.541000632063,53.47265109753532,0.9450128561797198,0.724
600,0.3000000000000002,-139478.6093714898,7714.396950904105,-131764.21242058568,181.07507592108934,53.44810694431074,0.945446819918893,0.726
700,0.35000000000000026,-139305.37460221024,8034.466709745815,-131270.90789246443,188.5878674265245,53.52258031775991,0.9441312889097724,0.726
800,0.4000000000000003,-139084.94169458025,8264.794123111526,-130820.14757146873,193.9941945999034,53.27836062497477,0.948459039437785,0.724
900,0.45000000000000034,-138740.95884894842,8392.729916863726,-130348.22893208469,196.99714916837289,53.02928355321565,0.9529139251989619,0.725
1000,0.5000000000000003,-138595.91190137313,8559.20884661586,-130036.70305475726,200.90480196819368,52.733181039739904,0.9582646399257071,0.726
1100,0.5499999999999948,-138313.13673554448,8550.206298165373,-129762.93043737911,200.6934909409637,52.625057207355454,0.9602334975537191,0.726
1200,0.5999999999999893,-138183.6967655731,8900.202070305124,-129283.49469526799,208.90871650112086,52.7478628585334,0.9579979169337759,0.726
1300,0.6499999999999838,-137954.74637477938,8952.702414026251,-129002.04396075313,210.14102328876578,52.49668174208509,0.9625816540071551,0.726
1400,0.6999999999999783,-138009.88180526346,9304.996243756032,-128704.88556150743,218.41018967608463,52.335464806412574,0.9655468414793145,0.726
1500,0.7499999999999728,-137703.9026533665,9438.91390331788,-128264.98875004862,221.55355273176644,52.379683034185604,0.9647317397511463,0.727
1600,0.7999999999999673,-137523.50064061914,9599.869483810384,-127923.63115680875,225.3315595083282,52.27715065964026,0.9666238902380763,0.727
1700,0.8499999999999618,-137424.45763125696,9748.182840356953,-127676.2747909,228.81282349664735,52.363684042389536,0.9650265000506164,0.727
1800,0.8999999999999563,-137140.99341502006,9808.326303927228,-127332.66711109283,230.22453231866595,52.125730210606925,0.9694318436790127,0.727
1900,0.9499999999999508,-136892.22710471257,9843.898074543336,-127048.32903016923,231.0594856022411,52.127897182387116,0.9693915441165593,0.727
2000,0.9999999999999453,-136757.54872305825,10085.022727416363,-126672.52599564189,236.71924943126115,51.98978445816618,0.9719667674684161,0.727
2100,1.0499999999999399,-136513.70066757908,10157.613767499686,-126356.08690007939,238.42313220757308,51.98978445816618,0.9719667674684161,0.727
2200,1.0999999999999344,-136263.74474955956,10095.677533614915,-126168.06721594464,236.96934284149216,51.86012422051594,0.9743968704416025,0.726
2300,1.1499999999999289,-136069.4863225972,10245.127215313492,-125824.3591072837,240.47727905895385,52.07135602141796,0.9704441482261101,0.726
2400,1.1999999999999234,-135864.53566623828,10259.682615842292,-125604.85305039599,240.81892861012264,52.01958313371928,0.9714099901817213,0.726
2500,1.2499999999999178,-135859.782001886,10413.798479039164,-125445.98352284683,244.43639110351265,51.731484720692656,0.9768198808523756,0.726
