#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-64175.785782373336,12614.026866091881,-51561.758916281455,298.35176357071543,51.533958068219235,0.9805639744242071,0
10000,19.999999999999794,-64656.48563596333,12736.640914007789,-51919.84472195554,301.2518776914957,51.26931394454857,0.9856254912214707,450
15000,29.99999999999425,-64314.633097991464,12675.612235527951,-51639.02086246351,299.8084041642753,51.33560913328493,0.9843526471066918,468
20000,40.00000000000292,-64797.52682692272,12399.716127253254,-52397.81069966947,293.28280442202936,51.632871032483216,0.9786855104259577,469
25000,50.00000000001514,-64707.75131291547,12903.594529987895,-51804.156782927574,305.200728149082,50.84754046513697,0.9938011215278034,476
30000,60.00000000002736,-64754.37127066433,12361.232250820292,-52393.139019844035,292.3725691320067,51.15759922166782,0.9877778377015879,480
35000,70.00000000001826,-64612.696770708426,12567.036100776866,-52045.66066993156,297.2403201076482,51.327641162001775,0.9845054554853174,483
40000,79.99999999999496,-64515.85544526705,12917.818959959317,-51598.03648530773,305.5371697797218,50.99889767311532,0.9908516663453731,486
45000,89.99999999997165,-64092.69614090404,12532.15778736258,-51560.53835354146,296.4153649662018,51.50452265756257,0.9811243777009097,489
50000,99.99999999994834,-64484.91880882048,12562.670411484432,-51922.24839733605,297.13706116318684,51.877578276047906,0.9740690375386024,490
55000,109.99999999992504,-64155.71346280747,12670.741210273409,-51484.97225253406,299.693192821338,51.854471324317025,0.9745030939595457,491
60000,119.99999999990173,-64563.64462512941,12633.778717298992,-51929.86590783042,298.81894187182314,51.341099537052486,0.9842473806918505,491
65000,129.99999999989262,-64622.45513979555,12795.035844662227,-51827.419295133324,302.6330568129049,51.07484929979403,0.9893782053976077,491
70000,139.99999999994037,-64223.328383974556,12417.811151753762,-51805.517232220795,293.7107948273847,51.3047640536692,0.984944452494164,491
75000,149.99999999998812,-64128.82462441613,12968.644523525145,-51160.18010089098,306.73931535030897,51.52576920670509,0.9807198130019894,490
80000,160.00000000003587,-64451.17271914694,12493.477373441914,-51957.695345705026,295.5004810967297,50.83868037025392,0.9939743198124065,487
85000,170.00000000008362,-64476.169952604396,12656.23184526572,-51819.938107338676,299.35001179879146,51.273408558387516,0.9855467807185055,485
90000,180.00000000013137,-64351.02963122772,12685.723181656562,-51665.30644957116,300.0475521097224,51.18335840825342,0.9872807160898422,485
95000,190.0000000001791,-64319.6234031067,12370.504487943836,-51949.118915162864,292.59187961290405,51.466463288637016,0.9818499176402553,470
100000,200.00000000022686,-64041.76620128751,12497.346451300662,-51544.419749986846,295.59199399858124,51.755922023042565,0.9763586613080854,470
105000,210.0000000002746,-64747.16942880285,12685.568860931322,-52061.60056787153,300.04390205720387,50.882053180047265,0.9931270375897309,470
110000,220.00000000032236,-64598.95062330476,12388.435656605521,-52210.51496669924,293.01599443760597,50.887628836301666,0.9930182226359753,471
115000,230.0000000003701,-64393.249241024605,12740.113310998771,-51653.135930025834,301.3340081465102,51.41138227437644,0.9829018498568735,472
120000,240.00000000041786,-64534.156262424425,12688.319966603536,-51845.83629582089,300.10897225546717,51.196295007414314,0.9870312438403077,472
125000,250.0000000004656,-64026.5752822042,12755.869905530126,-51270.70537667407,301.70668911637046,50.920454023403856,0.9923780867695722,472
130000,260.00000000051335,-64333.62172778882,12832.598528998671,-51501.02319879015,303.52150371691096,51.819004815585096,0.9751700736249062,472
135000,270.0000000005611,-64089.603438674414,12588.579189262062,-51501.02424941235,297.7498654344935,51.99591155394807,0.9718522328193812,473
140000,280.00000000060885,-64318.517300421896,12934.818214917555,-51383.69908550434,305.9392426268799,51.20492204374644,0.9868649482175101,475
145000,290.0000000006566,-64420.85991789546,12709.324224915821,-51711.53569297964,300.6057729660167,51.53460208656547,0.9805517204984247,476
150000,300.00000000070435,-64655.170233736106,12500.585036980221,-52154.585196755885,295.66859425948354,51.08229233350177,0.989234046335904,477
155000,310.0000000007521,-64889.168568466965,12776.492081160657,-52112.67648730631,302.1944526619336,51.29711377791283,0.9850913437344572,478
160000,320.00000000079984,-64217.048884010816,13044.50304760877,-51172.545836402045,308.5335500290903,51.29446130131361,0.9851422835761293,479
165000,330.0000000008476,-64684.02149009908,12676.981586663052,-52007.03990343603,299.8407925784148,50.359245021264954,1.0034372580416056,479
170000,340.00000000089534,-64213.12702703825,12588.687529073213,-51624.43949796504,297.75242792893437,50.60397141308237,0.998584524694432,479
175000,350.0000000009431,-64880.09197906975,12420.820739467163,-52459.27123960259,293.78197874124874,50.8718336696942,0.9933265442972825,479
180000,360.00000000099084,-64910.028388761566,12781.255204381421,-52128.773184380145,302.30711186490703,51.38547517605817,0.9833974010758554,480
185000,370.0000000010386,-64396.18867529329,12814.457704896107,-51581.730970397184,303.0924300419393,51.615707088756295,0.979010955992332,472
190000,380.00000000108633,-64688.219679731585,12686.241156446282,-52001.9785232853,300.05980344655865,50.972192309691216,0.991370793592017,472
195000,390.0000000011341,-64963.51635604957,12783.185649345745,-52180.330706703826,302.35277148381357,51.04440522105783,0.989968293730591,472
200000,400.00000000118183,-64584.11622382089,12864.132474452723,-51719.98374936817,304.26735659469813,51.24225274974816,0.9861460031425303,472
205000,410.0000000012296,-64338.638449467835,12478.90775815444,-51859.730691313394,295.15587501163805,50.23226424261468,1.005973819876394,472
210000,420.00000000127733,-64572.3064352661,12451.85847727838,-52120.44795798772,294.516095127041,51.86559629907749,0.9742940667218799,473
215000,430.0000000013251,-64450.23706582864,12503.788225342985,-51946.44884048565,295.744357289579,50.893472010360476,0.992904212369251,474
220000,440.0000000013728,-64321.33606404124,12742.33919696603,-51578.99686707521,301.38665564844507,51.61315075987689,0.9790594450681434,475
225000,450.0000000014206,-64515.13094459503,12717.362857166678,-51797.768087428354,300.79590575503,51.0908496282812,0.9890683578143403,475
230000,460.0000000014683,-64659.10740017105,12697.884601032361,-51961.22279913869,300.33519862869775,50.54526047771712,0.9997444322887735,476
235000,470.00000000151607,-64590.17801192729,12605.852508776123,-51984.325503151165,298.1584205608183,50.932966918975545,0.9921342854731128,476
240000,480.0000000015638,-64750.84142484638,12859.644957487006,-51891.196467359376,304.1612161357481,50.87094475541903,0.9933439015952327,477
245000,490.00000000161157,-64476.72947344539,12644.544191913214,-51832.185281532176,299.07357097408567,51.29278964705668,0.9851743897903429,477
250000,500.0000000016593,-64420.49815034168,13075.063368068542,-51345.434782273136,309.2563743580101,51.19650743202272,0.9870271484491184,477
255000,510.00000000170706,-64499.50772123481,12678.782443170552,-51820.72527806426,299.883387121827,51.234686343416016,0.9862916384902826,478
260000,520.0000000015274,-64531.803716439,12665.724750971887,-51866.07896546711,299.57454161697814,51.5974276346909,0.9793577908370124,478
265000,530.0000000012909,-64684.96917516581,13044.178888882045,-51640.790286283765,308.5258829035306,51.62358652220818,0.9788615271712041,478
270000,540.0000000010544,-64050.377388580004,12581.965191888623,-51468.41219669138,297.59342865173045,50.803137996279034,0.9946697140024031,478
275000,550.000000000818,-64429.32280818082,12784.383728805464,-51644.939079375356,302.38110891511127,50.73957566271198,0.9959157537519417,478
280000,560.0000000005815,-64139.74132256821,12753.134458763292,-51386.60686380492,301.6419892884961,50.865485070197735,0.9934505229124525,474
285000,570.000000000345,-64279.12759950943,12390.97177546646,-51888.15582404297,293.075979685998,51.46333626808323,0.9819095769063628,474
290000,580.0000000001086,-64660.10151194304,12787.844749730546,-51872.25676221249,302.462970299086,51.18965678010886,0.987159241138323,474
295000,589.9999999998721,-64545.29818028706,12695.537159522064,-51849.761020765,300.27967604880223,50.725920876481645,0.996183841871111,473
300000,599.9999999996356,-64748.078477782314,12537.666610219982,-52210.41186756233,296.5456617407491,50.710587479880616,0.9964850586917801,474
305000,609.9999999993992,-64539.93698934914,12621.211941167247,-51918.72504818189,298.52170770060195,51.16820497304801,0.9875730987202022,473
