#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-48823.54849003145,20777.27256482793,-28046.275925203518,491.72205878324985,61.65374530827292,0.8191300053091406,0
10000,19.999999999999794,-48920.76173032104,21357.43502380792,-27563.326706513122,505.45238252368716,62.476014197645675,0.8083491459926891,485
15000,29.99999999999425,-48684.91660483624,21349.174309251597,-27335.74229558464,505.2568816197075,62.15362694044358,0.8125420061179389,471
20000,40.00000000000292,-48302.64184009039,21811.67054591328,-26490.971294177114,516.2024761851735,62.350013413982914,0.8099827082052894,473
25000,50.00000000001514,-48048.650811117375,21258.737389409624,-26789.91342170775,503.1165704563457,62.68412105512213,0.8056654838836139,476
30000,60.00000000002736,-48586.72523064731,20816.126041200827,-27770.599189446482,492.64157848119663,62.375801633997824,0.8096478345565299,479
35000,70.00000000001826,-48475.139189392445,21191.645353092812,-27283.493836299633,501.528747313403,61.76742523612277,0.8176224365615812,481
40000,79.99999999999496,-47999.11877881893,21225.90424517775,-26773.214533641178,502.3395300037238,62.45114024493921,0.8086711071025882,485
45000,89.99999999997165,-48351.742357953626,20877.33228120301,-27474.410076750617,494.09010634982565,62.84466545190357,0.8036073127057162,488
50000,99.99999999994834,-48846.59148716886,20877.361964404583,-27969.229522764275,494.09080884265495,62.63585138367895,0.8062863616611339,490
55000,109.99999999992504,-48482.738356184855,21711.321657322347,-26771.416698862507,513.8275849697561,61.73492337309216,0.8180528939265846,491
60000,119.99999999990173,-48437.23839862249,20489.00742440764,-27948.23097421485,484.8998770998436,62.338733810841156,0.81012926690069,492
65000,129.99999999989262,-48351.23474399757,21320.513731304556,-27030.721012693015,504.57859055190426,61.62933144172273,0.8194544957777057,493
70000,139.99999999994037,-48201.817323107156,20832.775345330825,-27369.04197777633,493.0356066231756,62.38720426184545,0.8094998536836199,495
75000,149.99999999998812,-48386.34604182374,21226.72003720654,-27159.626004617196,502.35883681768047,62.107115586428385,0.8131505101281786,495
80000,160.00000000003587,-49378.118251977954,21314.130915626884,-28063.98733635107,504.42753264687525,60.282805045546205,0.8377585064851789,495
85000,170.00000000008362,-48203.04378428857,20660.309139240533,-27542.73464504804,488.9539622367601,61.839008776738915,0.8166759739637153,496
90000,180.00000000013137,-48783.22724094597,21273.795196398627,-27509.432044547342,503.47293368112855,61.82773635650377,0.8168248701600986,495
95000,190.0000000001791,-49239.56573116168,20842.29398670979,-28397.271744451893,493.2608780547882,60.92408379343391,0.8289403726271036,496
100000,200.00000000022686,-48666.87652564549,20900.843516344205,-27766.03300930129,494.6465313046456,60.76128116424657,0.8311614198057902,496
105000,210.0000000002746,-48633.772724000446,21094.604414289817,-27539.16830971063,499.2321431722395,61.57985751913418,0.8201128543696584,496
110000,220.00000000032236,-48190.98038190289,20894.40545871877,-27296.57492318412,494.4941660247338,63.04564562538483,0.8010455317053585,496
115000,230.0000000003701,-47979.736414862855,20755.88873703289,-27223.847677829966,491.21598178034986,63.77496036971082,0.7918849722355852,496
120000,240.00000000041786,-47921.66025193856,21094.967451583827,-26826.692800354736,499.24073493735534,61.965464833204265,0.8150093420203346,495
125000,250.0000000004656,-48718.944039331924,21314.08877266664,-27404.855266665283,504.4265352771238,61.5937981759949,0.8199272364628495,495
130000,260.00000000051335,-48285.46098117391,20524.306922759395,-27761.15405841451,485.7352871349858,62.394883056372905,0.8094002304013577,495
135000,270.0000000005611,-48834.803840948094,21236.57292666938,-27598.230914278713,502.59201867908763,62.227993078608755,0.8115709702849875,495
140000,280.00000000060885,-48242.33853480412,21077.620014821543,-27164.718519982576,498.83018454905255,62.361869641933,0.8098287144318626,495
145000,290.0000000006566,-48270.628224312444,21188.641698166262,-27081.986526146182,501.4576617857068,63.776942461834544,0.7918603616332925,495
150000,300.00000000070435,-48418.32643884461,21279.10281544272,-27139.223623401893,503.5985456138524,61.26141137781139,0.8243759258211565,495
155000,310.0000000007521,-48411.12416718644,21484.307833550498,-26926.816333635943,508.4549979543498,61.93688269140001,0.815385446072931,494
160000,320.00000000079984,-48762.0135826029,21083.230913636275,-27678.782668966625,498.9629740048483,62.022563563980206,0.8142590344495764,493
165000,330.0000000008476,-48443.66714461823,21058.80476346705,-27384.86238115118,498.3848963571743,62.0737357684653,0.813587777446935,492
170000,340.00000000089534,-48113.45786609384,21338.990995480213,-26774.46687061363,505.0158798232842,62.73575759175233,0.8050023568749154,492
175000,350.0000000009431,-48328.31933157891,20829.435937924776,-27498.883393654134,492.95657506214206,62.03874550096907,0.8140466463962448,492
180000,360.00000000099084,-48483.66832828277,21242.27761262702,-27241.390715655754,502.7270277335749,62.40383074795647,0.8092841756088474,492
185000,370.0000000010386,-48229.086178227735,20982.721782602195,-27246.36439562554,496.5842904368109,61.99199492568823,0.814660550644206,492
190000,380.00000000108633,-48370.792099983664,20753.387062150054,-27617.40503783361,491.15677628453926,61.57775753595771,0.8201408226371935,492
195000,390.0000000011341,-47921.49302174419,20748.73206446017,-27172.760957284016,491.0466095126225,63.44220969872151,0.796038362495935,491
200000,400.00000000118183,-47908.685598930286,21192.707022215705,-26715.97857671458,501.5538731390006,62.56094910558322,0.8072517032384173,491
205000,410.0000000012296,-49041.63697260799,20992.582090409473,-28049.054882198514,496.81764786330183,62.13997472370068,0.8127205224374185,490
210000,420.00000000127733,-48494.18899485172,21280.28003243683,-27213.90896241489,503.6264060350012,62.040982988442714,0.8140172880739467,490
215000,430.0000000013251,-48662.003198425984,21360.634298128076,-27301.368900297908,505.52809764704665,61.861240806495026,0.8163824725027431,489
220000,440.0000000013728,-48981.09436675825,20910.40113307722,-28070.693233681028,494.87272514035504,62.112521942884925,0.813079732427112,489
225000,450.0000000014206,-48828.20378979121,20993.603944599163,-27834.599845192046,496.8418314150343,62.26452410983445,0.8110948159277318,489
230000,460.0000000014683,-48568.95475137711,21213.294774495065,-27355.659976882045,502.0411099457055,62.41126694946404,0.8091877507083308,489
235000,470.00000000151607,-48137.21985156054,21026.107665781397,-27111.112185779144,497.6110756287768,61.97492120490997,0.8148849847620773,489
240000,480.0000000015638,-47957.8556799877,20909.873030905146,-27047.98264908255,494.86022689322033,63.21805452087396,0.7988609125106596,489
245000,490.00000000161157,-48067.51521291031,21092.475014796713,-26975.040198113595,499.1817480734865,62.28900117360205,0.8107760883970767,489
250000,500.0000000016593,-47994.201433521346,21600.957349061966,-26393.24408445938,511.2156653973167,63.039178325978966,0.8011277123655264,489
255000,510.00000000170706,-48684.175196920056,21204.625832624617,-27479.54936429544,501.83594779409447,60.815809967119925,0.8304161820585494,489
260000,520.0000000015274,-49016.45833744953,21132.945175702684,-27883.513161746843,500.1395287820892,60.7982866750632,0.830655524745369,488
265000,530.0000000012909,-48526.1012711997,21294.40075977519,-27231.70051142451,503.9605920113689,61.643513985375336,0.8192659609521203,488
270000,540.0000000010544,-48022.35576854198,21480.28554925951,-26542.07021928247,508.3598051947418,63.17447571500477,0.7994119800775648,487
275000,550.000000000818,-48725.478127023845,21088.176513157785,-27637.30161386606,499.080018259384,61.52820808692246,0.8208012924795067,487
280000,560.0000000005815,-48018.06583171326,21305.99307886325,-26712.072752850014,504.2349398108824,62.37840340301277,0.8096140645891367,487
285000,570.000000000345,-47788.07132400561,21256.304201661143,-26531.767122344463,503.05898580054674,62.325825018901426,0.810297059146481,487
290000,580.0000000001086,-48123.445203534735,20764.0049528291,-27359.440250705637,491.40806292711204,63.41020795415045,0.7964401056405684,486
295000,589.9999999998721,-48801.338782431616,20909.78172639897,-27891.557056032645,494.85806604946123,61.091105363394234,0.8266740701659497,485
300000,599.9999999996356,-48798.08371391066,21032.30295460252,-27765.780759308138,497.75769545890006,61.615279593225985,0.8196413788122494,485
305000,609.9999999993992,-48699.14781587187,20865.517738599097,-27833.63007727277,493.81049933236693,61.23064163332442,0.8247901928600458,485
310000,619.9999999991627,-48699.52884477796,20963.42096357653,-27736.10788120143,496.12751063388475,61.17449308540512,0.8255472203290354,484
315000,629.9999999989262,-48489.85779339488,21823.02097801218,-26666.836815382703,516.4710994042384,61.48151648516902,0.8214246428660642,484
320000,639.9999999986898,-48374.79223787115,21107.853098212276,-27266.939139658876,499.5456910700298,62.21479059760153,0.811743192199074,484
325000,649.9999999984533,-48379.29912144848,21300.14126752317,-27079.15785392531,504.09644883663265,61.93146140125756,0.815456822413503,485
330000,659.9999999982168,-48543.67957268178,21206.09609863721,-27337.58347404457,501.87074361382565,62.721492718847905,0.8051854401500546,485
335000,669.9999999979804,-48576.74673940183,21407.96226232685,-27168.78447707498,506.6481774804911,61.49259970804633,0.8212765920040576,485
340000,679.9999999977439,-48390.805786349636,20661.36942006182,-27729.436366287817,488.97905520633566,62.44311513525909,0.8087750364840034,484
345000,689.9999999975074,-47641.37227046862,21016.23662985023,-26625.13564061839,497.37746430682625,62.2046546726092,0.8118754615308862,484
350000,699.999999997271,-49146.26829410117,21668.09151101322,-27478.176783087954,512.8044854999724,61.52068454211636,0.8209016706750167,484
355000,709.9999999970345,-47919.64766748296,21008.24007745087,-26911.40759003209,497.1882151550566,62.922129783208895,0.8026179802828423,483
360000,719.999999996798,-48118.20042901742,20678.78381458344,-27439.416614433983,489.3911902399363,61.764607076772606,0.8176597425596851,483
365000,729.9999999965615,-48969.5828542012,20779.935028149746,-28189.647826051456,491.78506955340526,61.395590256990296,0.8225742681241501,482
370000,739.9999999963251,-48509.3653591153,21038.734384242445,-27470.630974872853,497.90990387863354,62.071889234518494,0.8136119803102325,482
375000,749.9999999960886,-48009.43001157977,21461.704551575705,-26547.72546000406,507.92006093057904,62.38752211701474,0.8094957294019638,482
380000,759.9999999958521,-49253.62891601946,21352.798883996205,-27900.830032023252,505.3426620487832,61.09666017082134,0.8265989103249386,482
385000,769.9999999956157,-48183.446011789085,20956.10099822143,-27227.345013567654,495.9542738231628,62.70897243207371,0.8053462010782934,481
390000,779.9999999953792,-48018.79763901577,21372.89002017211,-26645.90761884366,505.8181457684526,62.95047368998465,0.8022565957232641,481
395000,789.9999999951427,-48243.82787955168,20560.32697994681,-27683.50089960487,486.5877501626726,62.615701113253394,0.8065458315375235,481
400000,799.9999999949063,-49348.62423884752,20951.109969096724,-28397.514269750798,495.83615441605633,61.219161948234884,0.8249448557364663,481
