#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-64721.72094696743,12775.73328873457,-51945.98765823286,302.3548858783664,50.87955427109302,0.9925879549299966,0
10000,19.999999999999794,-64377.92466295959,12465.57029573829,-51912.3543672213,295.0144621052922,51.28316587884868,0.9847760343228598,468
15000,29.99999999999425,-64700.443505917734,12551.334849605802,-52149.10865631193,297.0441954529574,50.82980893896657,0.9935593655749194,461
20000,40.00000000000292,-64656.18064629758,12580.1406809818,-52076.03996531578,297.7259241382299,51.12805057518998,0.9877637060975768,467
25000,50.00000000001514,-64594.41111443832,12981.646414182847,-51612.76470025547,307.2280965300533,51.196921749888375,0.986434945608895,466
30000,60.00000000002736,-64599.038581320376,12755.030418407172,-51844.008162913204,301.8649246484529,51.00247650374711,0.9901956960459286,468
35000,70.00000000001826,-64489.20856998011,12620.202528311871,-51869.00604166824,298.67404155770055,51.45124077021427,0.9815590832345962,466
40000,79.99999999999496,-64390.975991198386,12700.012305751909,-51690.96368544648,300.5628471240424,51.8453638793152,0.9740973723176625,463
45000,89.99999999997165,-64285.548834227026,12512.162006410537,-51773.38682781649,296.11711751025496,50.99683627278793,0.9903052113184175,460
50000,99.99999999994834,-64882.16635386163,12909.52449442842,-51972.641859433206,305.52123444050835,50.73566006964228,0.9954030883282461,463
55000,109.99999999992504,-64985.48316013545,12577.545268307847,-52407.937891827605,297.66450021170414,50.75707866469002,0.9949830457210066,465
60000,119.99999999990173,-64542.56029985123,12588.97532090277,-51953.584978948464,297.9350077567363,50.72721302460656,0.9955688418600183,467
65000,129.99999999989262,-64356.58476520283,12764.6924873502,-51591.89227785263,302.0935904859899,50.87472886753497,0.9926821006395858,466
70000,139.99999999994037,-64528.24153428216,12625.20915425662,-51903.03238002554,298.7925300844996,51.30931455709005,0.9842741645964055,464
75000,149.99999999998812,-64574.271805818134,12526.090804283042,-52048.18100153509,296.44676121805503,51.14155052525001,0.987502963891553,463
80000,160.00000000003587,-64644.827625821694,12600.863472226076,-52043.96415359562,298.21635682339473,50.75125145844776,0.9950972886460251,463
85000,170.00000000008362,-64772.35091080284,12403.64877682936,-52368.70213397348,293.5490062007271,50.70236376355457,0.9960567707889726,463
90000,180.00000000013137,-64695.462594788754,12598.326657692436,-52097.13593709632,298.15631970055585,50.93813691481183,0.9914464050020811,464
95000,190.0000000001791,-64616.73203231749,12652.53127256222,-51964.20075975527,299.4391447073589,51.151861400123984,0.9873039091705778,463
100000,200.00000000022686,-64036.64263838978,12561.541732160142,-51475.100906229636,297.28575503628184,51.180171607596805,0.986757784028176,462
105000,210.0000000002746,-64920.41268887848,12706.722879601759,-52213.68980927672,300.7216618663898,50.79624337218213,0.9942158980471173,464
110000,220.00000000032236,-64648.467242669954,12602.177889148239,-52046.289353521715,298.24746426509813,51.09743047088483,0.9883556229010408,464
115000,230.0000000003701,-64426.25090138166,12699.242572064046,-51727.008329317614,300.5446303425794,51.26597789698863,0.98510620090328,463
120000,240.00000000041786,-64777.85949817905,12655.972173711285,-52121.88732446777,299.5205782541253,51.60558725473362,0.9786233508477622,463
125000,250.0000000004656,-64616.76000009122,12879.68721337989,-51737.07278671133,304.8150951135153,51.721648019048814,0.9764273695048197,462
130000,260.00000000051335,-64361.05752577266,12618.508069312666,-51742.549456459994,298.63393990985367,51.39840427201332,0.9825681057027059,463
135000,270.0000000005611,-64463.958737725916,12615.495914719068,-51848.46282300685,298.56265322612194,50.69774582858558,0.9961474991895701,462
140000,280.00000000060885,-64211.66059295001,12451.596736335661,-51760.063856614346,294.6837590557677,51.20819474103642,0.9862177914509286,463
145000,290.0000000006566,-64939.69182069425,13133.173932794947,-51806.5178878993,310.81419875698316,50.58164289326199,0.9984340134673928,461
150000,300.00000000070435,-64804.914606252045,12797.811499877484,-52007.10310637456,302.8773963957393,51.241656465324276,0.9855737734760679,461
155000,310.0000000007521,-64559.183063075005,12587.963847460924,-51971.21921561408,297.91106987934273,51.393979791793114,0.9826526944651699,460
160000,320.00000000079984,-64615.81862974871,12953.65192159079,-51662.16670815792,306.56556926671743,51.13696022848329,0.9875916068543342,461
165000,330.0000000008476,-65278.76448598888,12557.895004134538,-52720.869481854344,297.19945032005995,51.0739074244386,0.9888108286292747,460
170000,340.00000000089534,-64643.350640305725,12772.005361950956,-51871.34527835477,302.2666594844876,51.42170154265425,0.9821229404437789,459
175000,350.0000000009431,-64749.84532310424,12584.239094410092,-52165.606228694145,297.82291859611246,51.220339911851596,0.9859839432656423,460
180000,360.00000000099084,-64249.57389538339,12343.71998231337,-51905.85391307002,292.13071079511724,51.13321496173954,0.9876639432799693,460
185000,370.0000000010386,-64817.33927071869,12724.904382273555,-52092.43488844513,301.151951544578,50.87056738469715,0.9927633073124735,460
190000,380.00000000108633,-64933.50924648513,12681.83314477792,-52251.67610170721,300.1326128652776,50.76793577955453,0.994770260917966,460
195000,390.0000000011341,-64666.08954764012,12853.56636393728,-51812.52318370284,304.1969101315832,51.03378767588495,0.9895881732791305,460
200000,400.00000000118183,-64759.12412808312,12623.77415024204,-52135.34997784108,298.7585687873077,50.89620003190402,0.9922633259464715,458
205000,410.0000000012296,-64389.03946976032,12626.262457028031,-51762.77701273229,298.8174579091534,51.161942111553614,0.9871093753942798,458
210000,420.00000000127733,-64489.52952607564,12660.499190187082,-51829.03033588856,299.62771617873403,50.99959832026885,0.9902515781506211,457
215000,430.0000000013251,-63961.4701092178,12768.020820638398,-51193.4492885794,302.17235996315225,51.531243993364065,0.9800351943414649,457
220000,440.0000000013728,-64300.35392626078,12714.881344791967,-51585.47258146881,300.91474290180116,50.89138969481402,0.9923571162930992,458
225000,450.0000000014206,-64580.66248706926,12791.437476109713,-51789.22501095955,302.72654656306554,51.15317606825625,0.9872785348519916,458
230000,460.0000000014683,-65057.07878005621,12426.826955340104,-52630.251824716106,294.09754892309786,51.52801453440807,0.9800966169183708,458
235000,470.00000000151607,-64518.519765732635,12409.615544284694,-52108.90422144794,293.69021776582855,50.938477709366836,0.9914397719115062,458
240000,480.0000000015638,-64926.9605234387,12538.193329903443,-52388.767193535256,296.73318374035546,51.438655939649806,0.981799228598542,458
245000,490.00000000161157,-64304.36473982531,12838.70078730199,-51465.66395252332,303.8450962962832,51.129069044316935,0.9877440302681867,457
250000,500.0000000016593,-64691.35848748183,12715.040289946366,-51976.31819753547,300.9185045523407,51.18384376812722,0.9866869895602185,457
255000,510.00000000170706,-64704.25394690258,12673.636829462368,-52030.61711744021,299.93863605581794,50.708665692906514,0.9959329836745958,456
260000,520.0000000015274,-64781.96284978563,12577.701760626165,-52204.26108915947,297.6682038125837,51.136002383791606,0.9876101057461928,456
265000,530.0000000012909,-65117.98745759,12848.818097295472,-52269.16936029453,304.0845360246605,51.241143008338376,0.9855836493240565,456
270000,540.0000000010544,-64406.610388132685,12537.582663219015,-51869.02772491367,296.7187314931531,51.533313718424274,0.979995833329039,455
275000,550.000000000818,-65033.16844762536,12862.327391011175,-52170.84105661418,304.40425160320274,50.72011290642155,0.9957082078044823,455
280000,560.0000000005815,-64621.83481622761,12872.75010986859,-51749.08470635902,304.6509192425041,51.068227661896984,0.9889208032840127,455
285000,570.000000000345,-65070.17154922703,12791.465437368694,-52278.70611185834,302.72720830381076,50.846090436734094,0.9932412165401843,455
290000,580.0000000001086,-64430.80450411339,12363.72453051922,-52067.07997359417,292.60414529418904,51.12396638804502,0.9878426164818,455
295000,589.9999999998721,-64254.74607053283,12481.174170001876,-51773.57190053095,295.3837487454874,51.29124568008397,0.9846209046411155,455
300000,599.9999999996356,-64665.33185451507,12431.318378526252,-52234.01347598882,294.20384448470577,51.29851306629662,0.9844814148204687,456
305000,609.9999999993992,-64883.24166036642,12892.161112435628,-51991.08054793079,305.11030668691143,51.03353901416217,0.9895929950630937,456
310000,619.9999999991627,-64694.61820420873,12693.203513369197,-52001.414690839534,300.4017079082089,51.023895315705985,0.9897800316736798,456
315000,629.9999999989262,-64000.79480602557,12687.36040635407,-51313.4343996715,300.26342293349893,51.07924841051085,0.988707435861602,456
320000,639.9999999986898,-64886.94166233332,12614.869304061402,-52272.07235827192,298.5478236433804,51.08843566190348,0.9885296362549133,457
325000,649.9999999984533,-64298.3131322228,12736.819283704273,-51561.49384851853,301.43393368845335,50.85308731272908,0.9931045564868327,457
330000,659.9999999982168,-64462.73884141352,12623.756640112726,-51838.982201300794,298.75815438658174,51.1173390440621,0.9879706899093855,458
335000,669.9999999979804,-64103.43438437948,12318.108727253508,-51785.32565712597,291.52458604862966,51.4324624679881,0.9819174563754756,458
340000,679.9999999977439,-64864.90032133972,12730.040632743388,-52134.859688596334,301.2735078098469,50.52480054483268,0.9995572902238606,457
345000,689.9999999975074,-64655.93103933375,12976.956150165293,-51678.97488916846,307.11709513313014,50.61272894210313,0.997820781002832,458
350000,699.999999997271,-64597.102047130116,12740.19752664771,-51856.90452048241,301.5138843446347,50.94936447367885,0.991227922926973,458
355000,709.9999999970345,-64726.03377841733,12376.056506277528,-52349.977272139804,292.89599806215085,50.89079029381026,0.9923688044560883,458
360000,719.999999996798,-64448.60759363306,12602.446793909883,-51846.16079972318,298.2538282574171,51.022292418031924,0.989811126241082,458
365000,729.9999999965615,-64553.661130403285,12610.10811994085,-51943.553010462434,298.4351438269753,51.38247797009155,0.9828726584788339,459
370000,739.9999999963251,-65344.183685187774,12558.022786299232,-52786.16089888854,297.2024744565968,50.833485749914644,0.993487500938863,459
375000,749.9999999960886,-65172.04058368795,12638.199030230287,-52533.84155345766,299.0999529446071,51.00940249915171,0.9900612484636309,459
380000,759.9999999958521,-64821.538229556114,12792.434964601882,-52029.10326495423,302.7501534678434,50.566520055729704,0.9987326133187517,459
385000,769.9999999956157,-64475.03668068175,12805.90452511143,-51669.13215557032,303.0689287067009,51.80128806903268,0.9749261959353642,460
390000,779.9999999953792,-64710.317414468795,12935.369467986282,-51774.94794648251,306.13289044913114,50.89852064937694,0.9922180856608492,460
395000,789.9999999951427,-64573.382669203216,12831.34111299878,-51742.041556204436,303.67091971997576,50.759602464979494,0.9949335745199557,460
400000,799.9999999949063,-64730.244714374305,12790.253124918789,-51939.991589455516,302.6985173015681,51.25664665448434,0.9852855389102134,461
405000,809.9999999946698,-64401.66469694185,12443.180359936086,-51958.484337005764,294.4845742052162,51.548440443635656,0.9797082566816859,461
410000,819.9999999944333,-64829.734193059325,13219.155949894339,-51610.578243164986,312.84907866408037,50.80092851038483,0.9941242060441904,461
415000,829.9999999941969,-64969.54317575571,13076.397420588415,-51893.145755167294,309.47050634569007,50.773811308876944,0.9946551464192427,461
420000,839.9999999939604,-64827.19321728323,12565.438654602971,-52261.75456268026,297.3779809393944,51.02515779867328,0.9897555421770224,462
425000,849.9999999937239,-64753.01360142825,12535.914075719193,-52217.099525709054,296.6792421290841,51.2015196127041,0.9863463643989846,462
430000,859.9999999934874,-64648.767502210045,12777.228685479378,-51871.53881673067,302.39027645062566,51.22096075362818,0.9859719922984208,462
435000,869.999999993251,-64532.76533736772,12642.799442772288,-51889.96589459543,299.20882788569213,51.424272685361224,0.9820738356513566,462
440000,879.9999999930145,-64284.76724929293,12628.378756203689,-51656.38849308924,298.86754297130045,51.69170179767325,0.9769930368972146,462
445000,889.999999992778,-64964.47562491044,12760.237584246788,-52204.23804066365,301.98815922118587,50.61822922623241,0.9977123556807792,463
450000,899.9999999925416,-64630.619070665794,12592.522669921396,-52038.0964007444,298.0189605352937,50.674398295078134,0.9966064604776799,463
455000,909.9999999923051,-64681.946383582195,12558.685954946093,-52123.2604286361,297.2181692332494,51.64853255181187,0.9778096342046475,462
460000,919.9999999920686,-64112.8862884845,12782.94528716011,-51329.94100132439,302.5255675067025,51.246128845190185,0.9854877599487988,462
465000,929.9999999918322,-64873.756493208755,12672.08494919294,-52201.671544015815,299.90190872509214,50.58352339359631,0.9983968955410373,462
470000,939.9999999915957,-64673.76264564152,12640.172568050912,-52033.590077590605,299.1466593675611,50.64771980179761,0.9971314191305717,463
475000,949.9999999913592,-64449.79834987031,12763.012917983579,-51686.78543188673,302.05384122129476,50.99394411094536,0.9903613772611509,463
480000,959.9999999911228,-64507.804610695166,13019.851875543594,-51487.95273515157,308.1322800824639,51.164232683512985,0.9870651834864271,463
485000,969.9999999908863,-64169.9241218408,12314.466766733676,-51855.45735510712,291.4383941618346,51.21043167254719,0.986174712305096,463
490000,979.9999999906498,-65144.7333719508,12627.876696544234,-52516.85667540657,298.8556610552016,51.19241756514487,0.986521737470733,463
495000,989.9999999904134,-64296.28470901004,12668.179263879312,-51628.10544513073,299.80947543687375,51.91967856362985,0.9727031083176111,463
500000,999.9999999901769,-64847.329513887234,12624.204548577778,-52223.12496530946,298.7687547419409,50.494533639572325,1.0001564344009601,463
505000,1009.9999999899404,-64731.99608791771,12466.995739835314,-52265.000348082394,295.0481971541964,50.771752921234594,0.99469547171321,463
510000,1019.999999989704,-64570.65392608772,12813.534699038835,-51757.11922704888,303.2495070198915,51.05921841716295,0.9890952953701736,463
515000,1029.9999999894676,-64327.009294983756,12804.16862342332,-51522.840671560436,303.02784626196427,50.958492207238024,0.9910503732392762,463
520000,1039.9999999892311,-65079.191751713515,12811.466629300616,-52267.7251224129,303.2005633721527,50.631375704079815,0.9974532988568307,463
525000,1049.9999999889947,-64903.593281413894,12725.417264900403,-52178.17601651349,301.16408960073534,50.818524960600726,0.9937799800534983,463
530000,1059.9999999887582,-64547.17323349137,12541.48346467875,-52005.68976881262,296.81104919841016,51.0531920766923,0.9892120485988232,464
535000,1069.9999999885217,-64251.05477897223,12458.062969334424,-51792.99180963781,294.83679114372836,51.15231655914866,0.9872951240301465,464
540000,1079.9999999882853,-64487.67650184507,12664.794473592192,-51822.882028252876,299.72936982901115,51.43015906329065,0.9819614335539,464
545000,1089.9999999880488,-64459.736827278626,12647.1095537059,-51812.627273572725,299.3108324493445,51.452973823300354,0.9815260220940638,464
550000,1099.9999999878123,-64419.257712556515,12627.088970344514,-51792.168742212,298.83701845678183,50.67092054943264,0.9966748615199468,464
555000,1109.9999999875758,-64915.24807186646,12702.377381809521,-52212.87069005694,300.6188198252042,50.82606028450327,0.9936326451234319,464
560000,1119.9999999873394,-64759.34806284524,12760.310019454919,-51999.03804339032,301.98987349766554,51.07072618568103,0.9888724224926654,464
565000,1129.999999987103,-64766.75125972362,12503.25523252273,-52263.49602720089,295.9063267445486,50.95930773149181,0.9910345130235064,464
570000,1139.9999999868664,-64553.78100402444,12683.680161322234,-51870.1008427022,300.1763249923118,50.93945856236974,0.9914206814715031,464
575000,1149.99999998663,-64698.72036849073,12807.928892351338,-51890.79147613939,303.1168380761253,50.80165608697759,0.9941099682897878,464
580000,1159.9999999863935,-64949.622466349625,12731.361612814246,-52218.26085353538,301.3047705772783,50.94751661697733,0.9912638745745065,464
585000,1169.999999986157,-64591.17576701159,12450.444772087969,-52140.73099492362,294.65649627477694,51.18186773431626,0.9867250836536643,464
590000,1179.9999999859206,-63912.97119592072,12656.973391302396,-51255.997804618324,299.5442734130378,52.038625277406204,0.9704797629160434,463
595000,1189.999999985684,-64876.802023342345,12457.738648085855,-52419.06337525649,294.82911564582287,50.58307984515487,0.998405650195525,463
600000,1199.9999999854476,-64704.8257764242,12603.155599187594,-52101.67017723661,298.27060308622805,50.58207939132454,0.9984253974809069,463
605000,1209.9999999852112,-64430.31849920133,12783.796920674911,-51646.521578526415,302.54572255756017,51.418621971706,0.982181761881597,463
610000,1219.9999999849747,-64267.60269825405,12771.561382841552,-51496.0413154125,302.25615212260686,51.173246374928866,0.9868913211344842,463
615000,1229.9999999847382,-63894.11863904033,12739.119749872014,-51154.99888916832,301.4883773098013,51.575597013282014,0.979192401954908,463
620000,1239.9999999845018,-64159.02311561088,12712.498902537627,-51446.52421307325,300.8583592062713,51.63310554961112,0.9781017853587998,463
625000,1249.9999999842653,-64846.24994138128,12596.561655190308,-52249.68828619097,298.11454854597355,50.94871865593121,0.9912404875723944,464
630000,1259.9999999840288,-64746.748584649235,12838.385793897789,-51908.362790751446,303.83764155434176,51.05235398175098,0.9892282878816212,464
635000,1269.9999999837923,-64710.59161612316,12648.094588073902,-52062.497028049256,299.33414461054826,50.7121903859169,0.9958637624873494,464
640000,1279.9999999835559,-64797.32892798283,12708.941118183546,-52088.387809799286,300.77415946148585,51.11452679731969,0.9880250466163409,464
645000,1289.9999999833194,-64855.328352194396,12536.337192733772,-52318.991159460624,296.68925576147336,50.58834279611042,0.9983017812075271,464
650000,1299.999999983083,-64912.208462087845,13187.59945821506,-51724.609003872785,312.10225190863895,51.01508139126051,0.9899510369172059,464
655000,1309.9999999828465,-64607.24435107951,12572.868467835244,-52034.37588324427,297.55381744765356,51.075757691490566,0.9887750080329776,464
660000,1319.99999998261,-64510.80527833087,12869.294502859935,-51641.51077547093,304.56913766182066,51.47416724411894,0.9811218991107435,464
665000,1329.9999999823735,-64838.07637030218,12874.580921632703,-51963.49544866948,304.694247861652,50.884808820028674,0.9924854567168154,464
670000,1339.999999982137,-64646.3342843405,12656.11829278816,-51990.21599155234,299.5240363583151,50.68711771861439,0.9963563720875656,463
