filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol
REST600d_0162_opt.json,2.58341902,SAGE 10 ns (16 REST up to 600K),-138892.08257330713
REST600d_0157_opt.json,2.62594016,SAGE 10 ns (16 REST up to 600K),-138891.99503580164
REST600d_0166_opt.json,2.63199471,SAGE 10 ns (16 REST up to 600K),-138891.90665743407
REST600d_0844_opt.json,2.56368079,SAGE 10 ns (16 REST up to 600K),-138891.47926105416
REMD_0960_opt.json,2.57969472,SAGE 10 ns (16 REMD up to 475K),-138891.4310432626
REMD_0063_opt.json,2.60016511,SAGE 10 ns (16 REMD up to 475K),-138891.4047506355
REST600d_0179_opt.json,2.51187871,SAGE 10 ns (16 REST up to 600K),-138891.2258352694
REST600d_0167_opt.json,2.63648798,SAGE 10 ns (16 REST up to 600K),-138891.1270151521
REMD_0069_opt.json,2.5838554,SAGE 10 ns (16 REMD up to 475K),-138891.12512635
REMD_0943_opt.json,2.53718844,SAGE 10 ns (16 REMD up to 475K),-138890.9727734399
REST600d_0149_opt.json,2.59535129,SAGE 10 ns (16 REST up to 600K),-138890.95167031224
REST600d_0869_opt.json,2.60046269,SAGE 10 ns (16 REST up to 600K),-138890.89663149783
REST600d_0870_opt.json,2.59167217,SAGE 10 ns (16 REST up to 600K),-138890.88782754657
REMD_0279_opt.json,2.55530502,SAGE 10 ns (16 REMD up to 475K),-138890.8613278415
REST600d_0860_opt.json,2.5990802,SAGE 10 ns (16 REST up to 600K),-138890.84761676984
REMD_0062_opt.json,2.53333581,SAGE 10 ns (16 REMD up to 475K),-138890.8153314318
REMD_0449_opt.json,2.59640832,SAGE 10 ns (16 REMD up to 475K),-138890.75591887967
REMD_0120_opt.json,2.54841291,SAGE 10 ns (16 REMD up to 475K),-138890.7478302887
REMD_0450_opt.json,2.62580232,SAGE 10 ns (16 REMD up to 475K),-138890.72075955043
REMD_0957_opt.json,2.55060132,SAGE 10 ns (16 REMD up to 475K),-138890.66356838017
MACEsmall_1900_opt.json,2.21220872,MACEsmall 0.1 ns (ML/MM),-138888.9442878465
MACEsmall_1893_opt.json,2.20683678,MACEsmall 0.1 ns (ML/MM),-138888.84837309585
MACEsmall_1994_opt.json,2.1706869,MACEsmall 0.1 ns (ML/MM),-138888.8080556426
MACEsmall_1992_opt.json,2.15750553,MACEsmall 0.1 ns (ML/MM),-138888.80471101962
MACEsmall_1787_opt.json,2.17765011,MACEsmall 0.1 ns (ML/MM),-138888.72865065373
MACEsmall_1776_opt.json,2.17192573,MACEsmall 0.1 ns (ML/MM),-138888.60566516483
