filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol,DFT_spe_Energy (+ CPCM) / kcal/mol,DFT_spe_Energy (exclude CPCM) / kcal/mol
REST600d_0162_opt.json,2.58341902,SAGE 10 ns (16 REST up to 600K),-138892.08257330713,-2095863.8567344495,-2095821.3100780672
REST600d_0157_opt.json,2.62594016,SAGE 10 ns (16 REST up to 600K),-138891.99503580164,-2095862.596206892,-2095820.1280023127
REST600d_0166_opt.json,2.63199471,SAGE 10 ns (16 REST up to 600K),-138891.90665743407,-2095864.4703001091,-2095820.6201330863
REST600d_0844_opt.json,2.56368079,SAGE 10 ns (16 REST up to 600K),-138891.47926105416,-2095860.901178559,-2095817.1046949315
REMD_0960_opt.json,2.57969472,SAGE 10 ns (16 REMD up to 475K),-138891.4310432626,-2095860.8200779643,-2095816.8862238314
REMD_0063_opt.json,2.60016511,SAGE 10 ns (16 REMD up to 475K),-138891.4047506355,-2095861.566518867,-2095818.6555138163
REST600d_0179_opt.json,2.51187871,SAGE 10 ns (16 REST up to 600K),-138891.2258352694,-2095862.065861182,-2095818.8055996825
REST600d_0167_opt.json,2.63648798,SAGE 10 ns (16 REST up to 600K),-138891.1270151521,-2095864.0699842712,-2095821.247129175
REMD_0069_opt.json,2.5838554,SAGE 10 ns (16 REMD up to 475K),-138891.12512635,-2095861.8017360822,-2095818.8319183784
REMD_0943_opt.json,2.53718844,SAGE 10 ns (16 REMD up to 475K),-138890.9727734399,-2095859.9398439461,-2095815.170962959
REST600d_0149_opt.json,2.59535129,SAGE 10 ns (16 REST up to 600K),-138890.95167031224,-2095862.1325889393,-2095818.8400333165
REST600d_0869_opt.json,2.60046269,SAGE 10 ns (16 REST up to 600K),-138890.89663149783,-2095861.91455096,-2095817.9246690585
REST600d_0870_opt.json,2.59167217,SAGE 10 ns (16 REST up to 600K),-138890.88782754657,-2095861.6727906216,-2095816.8470912052
REMD_0279_opt.json,2.55530502,SAGE 10 ns (16 REMD up to 475K),-138890.8613278415,-2095861.6429173525,-2095818.4820677112
REST600d_0860_opt.json,2.5990802,SAGE 10 ns (16 REST up to 600K),-138890.84761676984,-2095861.7265331822,-2095817.746580983
REMD_0062_opt.json,2.53333581,SAGE 10 ns (16 REMD up to 475K),-138890.8153314318,-2095861.2544550786,-2095817.932023125
REMD_0449_opt.json,2.59640832,SAGE 10 ns (16 REMD up to 475K),-138890.75591887967,-2095861.9042834442,-2095818.586303667
REMD_0120_opt.json,2.54841291,SAGE 10 ns (16 REMD up to 475K),-138890.7478302887,-2095861.315267819,-2095818.4265362006
REMD_0450_opt.json,2.62580232,SAGE 10 ns (16 REMD up to 475K),-138890.72075955043,-2095863.5211311532,-2095820.2580126051
REMD_0957_opt.json,2.55060132,SAGE 10 ns (16 REMD up to 475K),-138890.66356838017,-2095860.6658707222,-2095816.9079330899
MACEsmall_1900_opt.json,2.21220872,MACEsmall 0.1 ns (ML/MM),-138888.9442878465,-2095861.0485873416,-2095816.0004341018
MACEsmall_1893_opt.json,2.20683678,MACEsmall 0.1 ns (ML/MM),-138888.84837309585,-2095861.9234759798,-2095815.942300316
MACEsmall_1994_opt.json,2.1706869,MACEsmall 0.1 ns (ML/MM),-138888.8080556426,-2095860.7642913202,-2095816.029148355
MACEsmall_1992_opt.json,2.15750553,MACEsmall 0.1 ns (ML/MM),-138888.80471101962,-2095859.7525045243,-2095815.1998882394
MACEsmall_1787_opt.json,2.17765011,MACEsmall 0.1 ns (ML/MM),-138888.7286506537,-2095861.4433000546,-2095815.4922128196
MACEsmall_1776_opt.json,2.17192573,MACEsmall 0.1 ns (ML/MM),-138888.60566516485,-2095860.5035804345,-2095814.3810589956
MACEsmall_1762_opt.json,2.13880558,MACEsmall 0.1 ns (ML/MM),-138888.59716869297,-2095858.9197778783,-2095813.5150407667
MACEsmall_1986_opt.json,2.16862903,MACEsmall 0.1 ns (ML/MM),-138888.59091870332,-2095859.8291102452,-2095815.0072913445
MACEsmall_1796_opt.json,2.19064271,MACEsmall 0.1 ns (ML/MM),-138888.5876054558,-2095861.672257313,-2095815.9315205072
MACEsmall_1919_opt.json,2.2237875,MACEsmall 0.1 ns (ML/MM),-138888.58370234983,-2095861.7942140475,-2095815.993818079
ANI2x_L_1265_opt.json,2.18857701,ANI2x 0.2 ns (ML/MM),-138888.2257963166,-2095859.8447305441,-2095811.998038394
ANI2x_L_1264_opt.json,2.16511413,ANI2x 0.2 ns (ML/MM),-138888.1768631648,-2095860.0469619993,-2095812.0973044073
ANI2x_L_1276_opt.json,2.1983533,ANI2x 0.2 ns (ML/MM),-138888.02628610513,-2095860.400601934,-2095812.3193651175
ANI2x_L_1266_opt.json,2.16461838,ANI2x 0.2 ns (ML/MM),-138887.98561097175,-2095859.9153893292,-2095811.810153431
ANI2x_L_1256_opt.json,2.20081992,ANI2x 0.2 ns (ML/MM),-138887.9820655459,-2095860.309382002,-2095812.3475224976
ANI2x_L_1277_opt.json,2.1953595,ANI2x 0.2 ns (ML/MM),-138887.97351887333,-2095860.0305129278,-2095812.3483040642
ANI2x_L_1279_opt.json,2.19406953,ANI2x 0.2 ns (ML/MM),-138887.97082058463,-2095859.663049416,-2095811.8554730394
ANI2x_L_1262_opt.json,2.20532098,ANI2x 0.2 ns (ML/MM),-138887.95762407035,-2095860.274975494,-2095812.0339347257
ANI2x_L_1254_opt.json,2.20946748,ANI2x 0.2 ns (ML/MM),-138887.9545367261,-2095860.309225054,-2095812.4730769375
ANI2x_L_1258_opt.json,2.22505721,ANI2x 0.2 ns (ML/MM),-138887.92669415174,-2095860.5538013007,-2095812.4254674239
SAGE_0968_opt.json,2.62628263,SAGE 10 ns classic,-138887.77920443637,-2095861.286721144,-2095817.0582295728
GAFF_0761_opt.json,2.57324288,GAFF 10 ns classic,-138887.64180506574,-2095858.988322547,-2095815.1596709252
SAGE_0966_opt.json,2.65170869,SAGE 10 ns classic,-138887.60760582524,-2095861.8118916373,-2095818.5456116989
SAGE_0356_opt.json,2.51033289,SAGE 10 ns classic,-138887.40478864135,-2095859.4342654068,-2095814.861338538
SAGE_0226_opt.json,2.49822056,SAGE 10 ns classic,-138887.30522178832,-2095859.2754633676,-2095815.915272315
GAFF_0900_opt.json,2.58013707,GAFF 10 ns classic,-138887.2117229473,-2095858.8323711413,-2095813.5388769428
GAFF_0786_opt.json,2.6203977,GAFF 10 ns classic,-138886.95989103545,-2095859.2630115596,-2095815.52041464
SAGE_0963_opt.json,2.72909486,SAGE 10 ns classic,-138886.91730827471,-2095861.2899384096,-2095816.6966413436
SAGE_0227_opt.json,2.53722326,SAGE 10 ns classic,-138886.90254298795,-2095858.7633459226,-2095813.5444418364
GAFF_0994_opt.json,2.60723277,GAFF 10 ns classic,-138886.6320426833,-2095859.1951364155,-2095813.5813804488
SAGE_0964_opt.json,2.68151319,SAGE 10 ns classic,-138886.6178107792,-2095861.0226598335,-2095815.1710277551
GAFF_0959_opt.json,2.61125964,GAFF 10 ns classic,-138886.54749839575,-2095857.5551881813,-2095812.795507104
SAGE_0087_opt.json,2.58023423,SAGE 10 ns classic,-138886.5298277423,-2095861.3188314533,-2095815.3210104858
GAFF_0814_opt.json,2.59331264,GAFF 10 ns classic,-138886.46245210097,-2095858.5604375626,-2095814.5584692103
SAGE_0083_opt.json,2.57938948,SAGE 10 ns classic,-138886.4536983504,-2095861.0915016031,-2095814.8492100318
SAGE_0965_opt.json,2.6606864,SAGE 10 ns classic,-138886.39847128332,-2095861.4853478624,-2095815.999154435
GAFF_0762_opt.json,2.5565201,GAFF 10 ns classic,-138886.2985279249,-2095856.7362566711,-2095812.2405447848
