#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-754391.1643665712,119399.9140625,-634991.2503040712,256.2706246142421,596.73565930712,0.9347392933451865,0
2000,-725845.3849900216,134777.875,-591067.5099900216,289.2766756293514,579.5248862137355,0.9624992502718704,135
3000,-723193.843632089,140385.640625,-582808.203007089,301.31274458880455,559.1125440507632,0.9976386229030271,137
4000,-722837.1680223607,140403.9375,-582433.2305223607,301.35201556836563,554.8703798403061,1.0052658940906996,136
5000,-722947.9681869186,139581.96875,-583365.9994369186,299.58780621671036,553.7306625007551,1.0073349848020214,135
6000,-725124.2950949548,140227.828125,-584896.4669699548,300.97402819805603,549.818851103296,1.014501898898729,135
7000,-723867.3619627785,139587.15625,-584280.2057127785,299.5989402604459,547.8049568973397,1.0182315100867976,133
8000,-723917.444862701,140168.96875,-583748.476112701,300.8476970451897,545.1385060932189,1.0232120135707834,133
9000,-724163.6630800562,139470.25,-584693.4130800562,299.3480218410815,547.7355917935191,1.018360458680734,133
10000,-724009.886396749,140112.1875,-583897.698896749,300.72582621707284,548.076839768522,1.0177263989665988,134
11000,-725826.720918972,140767.921875,-585058.799043972,302.13324312504744,545.4013792754125,1.022718844671168,134
12000,-725045.8644565279,141229.671875,-583816.1925815279,303.1243071626119,551.0996594673779,1.0121440993697977,134
13000,-724672.6430465905,139453.453125,-585219.1899215905,299.31197034404636,550.0602963899129,1.0140565900782952,134
14000,-726396.3382554865,139926.0625,-586470.2757554865,300.32634209364744,545.1032573040363,1.0232781789882015,135
15000,-726016.5779146468,139891.875,-586124.7029146468,300.2529647210774,540.068212049781,1.0328181812026307,135
16000,-726179.196827746,140969.3125,-585209.884327746,302.56549219042944,546.7579831458801,1.0201812971897426,135
17000,-726043.6028383821,141482.0625,-584561.5403383821,303.66601863387535,545.3808286184636,1.0227573820436409,135
18000,-726949.6837510476,140140.40625,-586809.2775010476,300.7863927320918,540.752605489808,1.0315110141528934,135
19000,-724978.2078873673,139927.015625,-585051.1922623673,300.32838780650246,550.6323950070077,1.0130030008269175,134
20000,-727595.5146922525,140368.8125,-587226.7021922525,301.2766260192168,542.367614809064,1.0284394813856605,134
21000,-726746.6631974299,140149.421875,-586597.2413224299,300.8057431635237,543.277246048932,1.0267175232374302,134
22000,-726147.0633500628,140407.5625,-585739.5008500628,301.3597959844699,543.5857830789432,1.0261347626407753,135
23000,-727734.9167697784,140388.53125,-587346.3855197784,301.3189487999222,537.236943087889,1.038261191214022,134
24000,-726388.2227181047,140072.28125,-586315.9414681047,300.6401745673727,547.4627606864483,1.0188679642706862,134
25000,-723995.5318297511,139992.125,-584003.4068297511,300.4681334698935,549.7665009420097,1.0145985023439037,134
26000,-724072.6838814709,139741.84375,-584330.8401314709,299.9309493959321,551.5364218159506,1.0113425812534071,134
27000,-726312.479244099,140589.015625,-585723.463619099,301.7492527612781,546.3573270717658,1.0209294190015386,134
28000,-724594.9612051891,140442.8125,-584152.1487051891,301.43545382382916,552.4724103617093,1.00962918334586,134
29000,-726129.2538865209,139730.265625,-586398.9882615209,299.9060990151851,546.1089028636167,1.0213938384262387,134
30000,-728158.9224815099,140188.640625,-587970.2818565099,300.88991921706616,538.0058114603985,1.0367774039103839,134
31000,-727666.128978326,140851.59375,-586814.535228326,302.31282988469684,545.8519729336764,1.0218746036526387,134
32000,-724170.0207819119,139255.5625,-584914.4582819119,298.88723340455823,546.3266548411464,1.020986736692902,134
33000,-724862.0483631529,140004.0625,-584857.9858631529,300.4937551849957,551.61232005534,1.011203427143635,134
34000,-723849.8376713134,141389.75,-582460.0876713134,303.46788631342565,554.0580907619274,1.0067396863161928,134
35000,-723026.4887957135,141118.75,-581907.7387957135,302.88623313707484,555.0515608636557,1.0049377532182615,134
36000,-725527.1719216742,141073.5,-584453.6719216742,302.7891120808761,551.0017683225077,1.0123239172040717,134
37000,-725124.3152305316,140001.03125,-585123.2839805316,300.48724914739114,547.9321088398741,1.0179952214802925,134
38000,-726344.641408735,140879.71875,-585464.922658735,302.37319518205794,547.6248266755802,1.018566436954208,134
39000,-726994.9952805564,139447.859375,-587547.1359055564,299.2999643571267,543.4001544620666,1.0264852961751403,134
40000,-724197.7227301253,138766.890625,-585430.8321051253,297.8383863629087,553.5561837250879,1.007652492906894,134
41000,-726444.8794544609,140545.1875,-585899.6919544609,301.6551835062237,545.6660861444163,1.0222227157928698,134
42000,-724657.2295183893,139472.25,-585184.9795183893,299.3523144844494,551.6085559687533,1.0112103274304693,134
43000,-725528.3037982695,139561.375,-585966.9287982695,299.5436054045315,549.9452738506133,1.01426868275284,134
44000,-725770.9966611518,139558.28125,-586212.7154111518,299.53696522182184,547.2555671639615,1.019253712456968,134
45000,-724297.8988137748,138813.65625,-585484.2425637748,297.9387604379097,547.4534169529304,1.0188853539342688,134
46000,-726768.0287542101,141263.0,-585505.0287542101,303.19584003998483,544.1061965834932,1.0251533101388197,134
47000,-727721.8154304242,141094.859375,-586626.9560554242,302.83495617059424,538.453698534462,1.0359150099865304,134
48000,-727792.9636418726,141077.53125,-586715.4323918726,302.79776444016454,540.5092415608103,1.0319754513056862,134
49000,-727463.7531629382,140795.5625,-586668.1906629382,302.19256879784297,546.1660682621102,1.0212869325066194,134
50000,-724027.8682379974,137733.984375,-586293.8838629974,295.6214372810451,552.2144392155127,1.0101008392446649,134
51000,-724939.1101231184,139655.84375,-585283.2663731184,299.7463657311123,551.9688677196392,1.0105502341083663,134
52000,-724531.904782786,139917.5,-584614.404782786,300.3079642142286,555.107107462269,1.0048371944733654,134
53000,-724611.383858664,139947.0,-584664.383858664,300.3712807039052,553.6379926848534,1.00750359596821,134
54000,-724062.8940871852,140902.40625,-583160.4878371852,302.4218898552626,550.068882229889,1.0140407620104104,134
55000,-726214.3579820413,139262.1875,-586952.1704820413,298.9014527857144,541.5806741560498,1.0299338494007826,134
56000,-727164.7791252527,141143.46875,-586021.3103752527,302.9392875262,542.8516741386268,1.0275224247575394,133
57000,-726877.8873393266,139926.3125,-586951.5748393266,300.32687867406844,538.1164864594373,1.036564168781804,133
58000,-727946.1407766119,140529.046875,-587417.0939016119,301.62054053279365,540.446545904536,1.0320951678228307,133
59000,-726655.9493787512,140070.28125,-586585.6681287512,300.63588192400476,543.8245954843183,1.025684150967563,133
60000,-727394.3712792285,140413.296875,-586981.0744042285,301.3721037978763,542.2684255534026,1.0286275988231588,133
61000,-727037.6359861493,139360.375,-587677.2609861493,299.11219474605736,542.9756167758848,1.0272878767682163,133
62000,-725604.0262658866,139295.71875,-586308.3075158866,298.97342163467937,547.1463658290094,1.019457138583881,133
63000,-723087.6715702079,139538.90625,-583548.7653202079,299.49538023919524,560.494953491885,0.9951780386595172,133
64000,-728014.2531512426,140677.4375,-587336.8156512426,301.93903454892626,539.7214506598431,1.0334817484327805,133
65000,-725043.748291715,140124.953125,-584918.795166715,300.7532253548195,552.3053664211681,1.0099345441978906,133
66000,-726055.7024295982,139423.375,-586632.3274295982,299.2474130121463,546.9545603897647,1.0198146407210202,133
67000,-726854.4370356696,140509.71875,-586344.7182856696,301.579056158996,547.0515920013339,1.019633754202202,133
68000,-725530.3707930762,140364.609375,-585165.7614180762,301.26760476088896,547.6964754664903,1.0184331896960304,133
69000,-727691.7430519899,142002.59375,-585689.1493019899,304.7832461429245,539.8413607749247,1.03325219041001,134
70000,-727148.1603846634,140749.09375,-586399.0666346634,302.09283191209187,543.8601422612397,1.0256171121043092,134
71000,-726489.5833304347,139625.03125,-586864.5520804347,299.68023219422554,542.831732169331,1.0275601727730492,134
72000,-728476.6015167711,140330.59375,-588146.0077667711,301.1945962873583,540.4977011091836,1.031997485558101,134
73000,-726171.9149206448,140274.421875,-585897.4930456448,301.07403337401763,549.10019169276,1.0158296735884496,134
74000,-725875.9161779396,139912.59375,-585963.3224279396,300.29743382346675,549.4000716547661,1.0152752015749988,134
75000,-726552.5792458486,139497.546875,-587055.0323708486,299.4066097157981,547.0396378427487,1.0196560357020301,134
76000,-725223.888697138,139673.0,-585550.888697138,299.7831885625026,555.1893335096768,1.0046883735472365,134
77000,-725384.7185645346,140657.90625,-584726.8123145346,301.89711420353655,545.2093294259348,1.0230790971275665,134
78000,-726565.6465114122,139327.84375,-587237.8027614122,299.04237221877634,551.734307125183,1.0109798526051306,134
79000,-724794.1619257554,139252.53125,-585541.6306757554,298.88072736695375,551.2152609143027,1.0119318314398615,134
80000,-725905.7540900642,141086.78125,-584818.9728400642,302.8176179157411,549.6425644113256,1.0148272797832065,134
81000,-725605.245412779,140257.21875,-585348.026662779,301.0371099337984,545.9053631516297,1.0217746630558016,134
82000,-724388.6529917046,139761.46875,-584627.1842417046,299.97307095897963,554.3731287388897,1.0061675784385504,134
83000,-725223.4293994904,140993.8125,-584229.6168994904,302.61807707168623,549.371766814911,1.0153275107829438,134
84000,-727689.907128809,139054.0625,-588635.844628809,298.4547495852421,540.3854051064712,1.0322119421132598,134
85000,-724456.4976907996,139716.296875,-584740.2008157996,299.8761175841624,553.4813915810967,1.007788657358832,134
86000,-729237.496185163,140006.09375,-589231.402435163,300.49811490091616,537.4679087367158,1.0378150200737877,134
87000,-727009.4429174308,138722.296875,-588287.1460424308,297.74267383031497,549.3857850487724,1.015301603489964,134
88000,-726338.5219213655,139959.8125,-586378.7094213655,300.3987804504808,548.951186462406,1.0161054065465818,134
89000,-724680.0028627208,140314.96875,-584365.0341127208,301.1610600110465,546.0520869246457,1.0215001129948724,134
90000,-724868.1434071567,139900.71875,-584967.4246571567,300.2719462534698,551.9667373546753,1.0105541344173297,134
91000,-722383.6359020052,140447.703125,-581935.9327770052,301.4459506783148,554.1998464602108,1.006482177967652,134
92000,-726913.6488107499,142002.6875,-584910.9613107499,304.7834473605824,543.7052606134986,1.0259092727284218,134
93000,-725181.7530121524,140046.09375,-585135.6592621524,300.58396776827425,550.1996950529392,1.0137996685747739,134
94000,-723303.9817312136,139250.40625,-584053.5754812136,298.8761664333753,559.0512348963321,0.9977480303715739,134
95000,-724141.3140946738,140517.53125,-583623.7828446738,301.5958242971519,554.3667278048193,1.0061791960411415,134
96000,-724603.064596639,140699.40625,-583903.658346639,301.9861865534205,549.9655559508201,1.014231277684763,134
97000,-724432.9353393456,140172.859375,-584260.0759643456,300.8560475779913,551.762875280563,1.010927507964327,134
98000,-725188.5620775819,138716.140625,-586472.4214525819,297.7294605374481,552.2856279535097,1.0099706388549463,134
99000,-728544.3797032023,140514.28125,-588030.0984532023,301.58884875167905,543.8175563767905,1.0256974272969928,134
100000,-727435.0549348956,140152.71875,-587282.3361848956,300.8128193178255,543.3248405561292,1.0266275841974644,134
101000,-727328.1873711431,140760.03125,-586568.1561211431,302.11630730551,541.0295755010072,1.0309829513073874,134
102000,-724987.7917499719,139383.453125,-585604.3386249719,299.1617278261698,551.5167658837254,1.0113786252732144,134
103000,-723191.4177508214,139824.34375,-583367.0740008214,300.1080209348581,553.3780819083436,1.007976800546645,134
104000,-721743.337585086,140207.78125,-581535.556335086,300.9310011555481,560.8143197865103,0.9946113157505513,134
105000,-722892.9271046659,140241.71875,-582651.2083546659,301.00384194769714,559.2571631629748,0.9973806421001771,134
106000,-724557.1607891861,140372.90625,-584184.2545391861,301.2854125236105,551.9362939837144,1.0106098739559781,134
107000,-725736.9802434817,140228.0625,-585508.9177434817,300.97453124220067,546.4365348023855,1.0207814320035036,134
108000,-724835.8406025479,139449.5625,-585386.2781025479,299.30361981124474,550.8288332101392,1.0126417407089792,134
109000,-723309.0632329509,140709.03125,-582600.0319829509,302.00684489962856,553.6261853408647,1.0075250832855416,134
110000,-723989.0864302032,139094.9375,-584894.1489302032,298.5424804840736,549.3831034504855,1.0153065592867907,134
111000,-729015.0787798101,141046.71875,-587968.3600298101,302.73163090327773,538.1146080997048,1.03656778704521,134
112000,-728395.3733014911,139558.90625,-588836.4670514911,299.5383066728743,539.8051220076243,1.0333215557868178,134
113000,-727186.0308955163,139271.0,-587915.0308955163,298.9203672455542,546.9964943703296,1.019736459438756,134
114000,-723065.21514514,139678.453125,-583386.76202014,299.79489272293534,558.5605933910755,0.9986244555997057,134
115000,-722380.6663704356,140737.265625,-581643.4007454356,302.06744495092386,559.2276900802358,0.9974332072408316,134
116000,-722917.154305228,141225.9375,-581691.216805228,303.1162919925734,554.2623773542608,1.0063686284412814,134
117000,-723222.5538717126,140045.09375,-583177.4601217126,300.58182144659025,550.720122443682,1.012841633640602,134
118000,-724499.8640129445,139962.828125,-584537.0358879445,300.40525295180896,548.0779816668713,1.0177242785747314,134
119000,-727309.1049427241,140284.765625,-587024.3393177241,301.09623438893595,543.1630376950286,1.0269334063335083,134
